ablation,scenario,prefix_checkups,candidate_method,comparator_method,condition_count,candidate_iae_pp_mean,comparator_iae_pp_mean,mean_delta_iae_pp,relative_improvement_fraction,candidate_better_condition_count,candidate_worse_condition_count,candidate_equal_condition_count,gate_ready_condition_count,causal_factor,single_factor_isolation,same_condition_support,confirmatory_claim_allowed,interpretation
gated_hierarchical_to_gated_target_specialist,v3_soc_interpolation_at_40c,10,mechanism_gated_target_activation_offset_hybrid_v1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,4,0.20968832280689345,0.24487282370543798,-0.035184500898544496,0.14368479264513487,1,0,3,1,specialist_branch,True,True,False,target-specific versus hierarchical specialist under the same gate
gated_hierarchical_to_gated_target_specialist,v3_unseen_temperature_level,10,mechanism_gated_target_activation_offset_hybrid_v1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,17,0.36622558367548513,0.39130612246326785,-0.02508053878778272,0.064094419555464632,2,1,14,3,specialist_branch,True,True,False,target-specific versus hierarchical specialist under the same gate
sqrt_to_hierarchical_v2,v3_soc_interpolation_at_40c,10,hierarchical_power_law_prefix_update_v2,target_prefix_only_sqrt_time_v1,4,0.69068429920705832,1.2863585998493539,-0.59567430064229554,0.46307017398729661,3,1,0,1,hierarchy_plus_free_exponent,False,True,False,cross-condition hierarchy versus target-only square-root baseline
sqrt_to_hierarchical_v2,v3_unseen_temperature_level,10,hierarchical_power_law_prefix_update_v2,target_prefix_only_sqrt_time_v1,17,0.48012720519772029,1.1287176361871776,-0.64859043098945746,0.57462593849459453,14,3,0,3,hierarchy_plus_free_exponent,False,True,False,cross-condition hierarchy versus target-only square-root baseline
ungated_to_gated_hierarchical_activation,v3_soc_interpolation_at_40c,10,mechanism_gated_hierarchical_activation_offset_hybrid_v1,hierarchical_activation_offset_power_tau7_v3,4,0.24487282370543798,0.18290026160901335,0.061972562096424641,-0.33883255032682036,1,2,1,1,conservative_gate,True,True,False,safety cost of exact V2 fallback around the hierarchical specialist
ungated_to_gated_hierarchical_activation,v3_unseen_temperature_level,10,mechanism_gated_hierarchical_activation_offset_hybrid_v1,hierarchical_activation_offset_power_tau7_v3,17,0.39130612246326785,0.35075651206967356,0.040549610393594247,-0.11560615127094087,8,6,3,3,conservative_gate,True,True,False,safety cost of exact V2 fallback around the hierarchical specialist
ungated_to_gated_target_activation,v3_soc_interpolation_at_40c,10,mechanism_gated_target_activation_offset_hybrid_v1,target_prefix_activation_offset_power_tau7_v1,4,0.20968832280689345,0.11897239169466151,0.090715931112231973,-0.76249564978950091,1,2,1,1,conservative_gate,True,True,False,safety cost of exact V2 fallback around the target specialist
ungated_to_gated_target_activation,v3_unseen_temperature_level,10,mechanism_gated_target_activation_offset_hybrid_v1,target_prefix_activation_offset_power_tau7_v1,17,0.36622558367548513,0.32239324277857523,0.043832340896909891,-0.13595924194668885,5,9,3,3,conservative_gate,True,True,False,safety cost of exact V2 fallback around the target specialist
v2_to_gated_target_activation,v3_soc_interpolation_at_40c,10,mechanism_gated_target_activation_offset_hybrid_v1,hierarchical_power_law_prefix_update_v2,4,0.20968832280689345,0.69068429920705832,-0.48099597640016473,0.69640496671543484,1,0,3,1,combined_candidate,False,True,False,primary gated target specialist versus frozen V2
v2_to_gated_target_activation,v3_unseen_temperature_level,10,mechanism_gated_target_activation_offset_hybrid_v1,hierarchical_power_law_prefix_update_v2,17,0.36622558367548513,0.48012720519772029,-0.11390162152223517,0.23723217574252961,3,0,14,3,combined_candidate,False,True,False,primary gated target specialist versus frozen V2
v2_to_ungated_hierarchical_activation,v3_soc_interpolation_at_40c,10,hierarchical_activation_offset_power_tau7_v3,hierarchical_power_law_prefix_update_v2,4,0.18290026160901335,0.69068429920705832,-0.50778403759804491,0.73518977944193542,3,1,0,1,activation_term,True,True,False,activation term within the same hierarchical expert family
v2_to_ungated_hierarchical_activation,v3_unseen_temperature_level,10,hierarchical_activation_offset_power_tau7_v3,hierarchical_power_law_prefix_update_v2,17,0.35075651206967356,0.48012720519772029,-0.12937069312804669,0.26945086995178874,8,9,0,3,activation_term,True,True,False,activation term within the same hierarchical expert family
