condition_id,test_id,source_cell_id,temperature_c,storage_soc_fraction,observation_count,first_checkup_index,last_checkup_index,maximum_elapsed_days,minimum_capacity_retention_pct,maximum_capacity_retention_pct,missing_value_count,duplicate_checkup_count,physical_replicates_aggregated,statistical_unit
NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,35,0,34,885.04166666666652,97.235264460257468,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T10_SOC50,NAUMANN_CAL_T10_SOC50_TEST,"TP_10°C,50%SOC",10,0.5,35,0,34,885.04166666666652,96.961247700532525,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T25_SOC0,NAUMANN_CAL_T25_SOC0_TEST,"TP_25°C,0%SOC",25,0,35,0,34,885.04166666666652,97.872716565331487,100.20067206229332,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T25_SOC100,NAUMANN_CAL_T25_SOC100_TEST,"TP_25°C,100%SOC",25,1,35,0,34,885.04166666666652,89.008126104746694,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50_TEST,"TP_25°C,50%SOC",25,0.5,35,0,34,885.04166666666652,95.271963011453764,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0_TEST,"TP_40°C,0%SOC",40,0,35,0,34,885.04166666666652,96.450765189228321,100.21036463202886,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100_TEST,"TP_40°C,100%SOC",40,1,35,0,34,885.04166666666652,86.390020867730897,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC12.5,NAUMANN_CAL_T40_SOC12.5_TEST,"TP_40°C,12.5%SOC",40,0.125,35,0,34,885.04166666666652,93.492343457609309,100.22097775775798,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25_TEST,"TP_40°C,25%SOC",40,0.25,35,0,34,885.04166666666652,92.05528336328554,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC37.5,NAUMANN_CAL_T40_SOC37.5_TEST,"TP_40°C,37.5%SOC",40,0.375,35,0,34,885.04166666666652,90.735839071610982,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50_TEST,"TP_40°C,50%SOC",40,0.5,35,0,34,885.04166666666652,90.755118875206321,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC62.5_TEST,"TP_40°C,62.5%SOC",40,0.625,35,0,34,885.04166666666652,90.289459200236124,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75_TEST,"TP_40°C,75%SOC",40,0.75,35,0,34,885.04166666666652,89.421395176595354,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC87.5_TEST,"TP_40°C,87.5%SOC",40,0.875,35,0,34,885.04166666666652,87.381149771030991,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T60_SOC0,NAUMANN_CAL_T60_SOC0_TEST,"TP_60°C,0%SOC",60,0,35,0,34,885.04166666666652,88.497035210498524,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T60_SOC100,NAUMANN_CAL_T60_SOC100_TEST,"TP_60°C,100%SOC",60,1,35,0,34,885.04166666666652,77.437244974309522,100,0,0,3,temperature_soc_condition_mean_trajectory
NAUMANN_CAL_T60_SOC50,NAUMANN_CAL_T60_SOC50_TEST,"TP_60°C,50%SOC",60,0.5,35,0,34,885.04166666666652,79.95367388993796,100,0,0,3,temperature_soc_condition_mean_trajectory
