scenario,fold_id,target_condition_id,prefix_checkups,candidate_trajectory_iae_pp,candidate_future_point_mae_pp,final_true_retention_pct,candidate_final_predicted_retention_pct,candidate_final_error_pp,activation_gate_ready,comparator_trajectory_iae_pp,comparator_future_point_mae_pp,comparator_final_predicted_retention_pct,comparator_final_error_pp,ungated_target_trajectory_iae_pp,gated_hierarchical_trajectory_iae_pp,temperature_c,storage_soc_fraction,activation_component_selected,negative_loss_evidence,positive_time_observation_count,minimum_prefix_capacity_loss_pct,prefix_end_days,validation_horizon_days,training_support_days,time_extrapolation_ratio,future_checkup_count,fallback_reason,target_activation_fit_status,target_activation_fit_error,primary_vs_v2_delta_iae_pp,primary_vs_v2_relative_improvement_fraction,ungated_target_vs_v2_delta_iae_pp,gated_hierarchical_vs_v2_delta_iae_pp,candidate_final_absolute_error_pp,comparator_final_absolute_error_pp,horizon_to_prefix_time_ratio,is_primary_prefix,statistical_unit,independent_evidence_key,scenario_occurrence_count,duplicated_across_scenarios,candidate_error_rank_desc,candidate_error_top_quartile,temperature_outside_training_hull,selected_branch,gate_evidence_gap,risk_flags,trust_status,outcome_class,recommended_action,deployment_trusted,claim_allowed,claim_boundary
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC50,10,0.9866102264246418,0.91428877169439426,90.755118875206321,89.006871818222038,-1.7482470569842832,False,0.9866102264246418,0.91428877169439426,89.006871818222038,-1.7482470569842832,0.25537849549587771,0.9866102264246418,40,0.5,False,False,9,0.2398898831728217,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.73123173092876415,0,1.7482470569842832,1.7482470569842832,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC50,1,False,1,True,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=25,NAUMANN_CAL_T25_SOC100,10,0.84132398159370292,0.80083413187989438,89.008126104746694,89.95778841782834,0.94966231308164595,False,0.84132398159370292,0.80083413187989438,89.95778841782834,0.94966231308164595,0.83919324860012035,0.84132398159370292,25,1,False,False,9,1.0674144559505976,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.0021307329935825736,0,0.94966231308164595,0.94966231308164595,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T25_SOC100,1,False,2,True,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=60,NAUMANN_CAL_T60_SOC0,10,0.59889360089214128,0.5451263453591082,88.497035210498524,90.278408957939163,1.7813737474406395,False,0.59889360089214128,0.5451263453591082,90.278408957939163,1.7813737474406395,1.397076844908389,0.59889360089214128,60,0,False,False,9,0.034173372207249003,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,0.79818324401624774,0,1.7813737474406395,1.7813737474406395,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T60_SOC0,1,False,3,True,True,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;temperature_outside_training_convex_hull;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=25,NAUMANN_CAL_T25_SOC50,10,0.58652095070435395,0.54719247721007658,95.271963011453764,94.30942169431259,-0.96254131714117364,False,0.58652095070435395,0.54719247721007658,94.30942169431259,-0.96254131714117364,0.12061187990394616,0.58652095070435395,25,0.5,False,False,9,0.24557434168329451,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.46590907080040778,0,0.96254131714117364,0.96254131714117364,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T25_SOC50,1,False,4,True,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=60,NAUMANN_CAL_T60_SOC100,10,0.5616763071176506,0.53738134560241801,77.437244974309522,76.432751741368449,-1.0044932329410727,False,0.5616763071176506,0.53738134560241801,76.432751741368449,-1.0044932329410727,0.40695397526137755,0.5616763071176506,60,1,False,False,9,2.5641136998922605,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.15472233185627304,0,1.0044932329410727,1.0044932329410727,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T60_SOC100,1,False,5,True,True,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;temperature_outside_training_convex_hull,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=60,NAUMANN_CAL_T60_SOC50,10,0.47365402744667312,0.45662086345017372,79.95367388993796,79.224138114551579,-0.72953577538638115,False,0.47365402744667312,0.45662086345017372,79.224138114551579,-0.72953577538638115,0.39272814135810402,0.47365402744667312,60,0.5,False,False,9,1.4598327124386259,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.080925886088569099,0,0.72953577538638115,0.72953577538638115,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T60_SOC50,1,False,6,False,True,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;temperature_outside_training_convex_hull,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC100,10,0.37459341588328132,0.3625522399697354,86.390020867730897,86.697682281077576,0.30766141334667907,False,0.37459341588328132,0.3625522399697354,86.697682281077576,0.30766141334667907,0.3713287148989674,0.37459341588328132,40,1,False,False,9,1.4221685948664202,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.0032647009843139174,0,0.30766141334667907,0.30766141334667907,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC100,1,False,7,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_soc_interpolation_at_40c,40c_intermediate_soc_v3_activation_development,NAUMANN_CAL_T40_SOC37.5,10,0.33411719983258897,0.31483708727168053,90.735839071610982,90.208764114091224,-0.52707495751975841,False,0.33411719983258897,0.31483708727168053,90.208764114091224,-0.52707495751975841,0.070858759768327839,0.33411719983258897,40,0.375,False,False,9,0.4276714502725838,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.26325844006426113,0,0.52707495751975841,0.52707495751975841,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC37.5,2,True,1,True,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;scenario_duplicate_not_independent_evidence,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC37.5,10,0.32620577180219357,0.30749278925377782,90.735839071610982,90.222754031765703,-0.51308503984527931,False,0.32620577180219357,0.30749278925377782,90.222754031765703,-0.51308503984527931,0.070858759768327839,0.32620577180219357,40,0.375,False,False,9,0.4276714502725838,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.25534701203386573,0,0.51308503984527931,0.51308503984527931,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC37.5,2,True,8,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC25,10,0.31256238618240628,0.29287124474617315,92.05528336328554,91.609213932927261,-0.4460694303582784,False,0.31256238618240628,0.29287124474617315,91.609213932927261,-0.4460694303582784,0.26185608760614248,0.31256238618240628,40,0.25,False,False,9,0.28356383602312002,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.050706298576263797,0,0.4460694303582784,0.4460694303582784,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC25,1,False,9,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
