condition_id,role
NAUMANN_CAL_T0_SOC50,training
NAUMANN_CAL_T10_SOC50,training
NAUMANN_CAL_T25_SOC0,training
NAUMANN_CAL_T25_SOC100,training
NAUMANN_CAL_T25_SOC50,calibration
NAUMANN_CAL_T40_SOC0,calibration
NAUMANN_CAL_T40_SOC100,calibration
NAUMANN_CAL_T40_SOC12.5,test
NAUMANN_CAL_T40_SOC25,calibration
NAUMANN_CAL_T40_SOC37.5,test
NAUMANN_CAL_T40_SOC50,calibration
NAUMANN_CAL_T40_SOC62.5,test
NAUMANN_CAL_T40_SOC75,calibration
NAUMANN_CAL_T40_SOC87.5,test
NAUMANN_CAL_T60_SOC0,training
NAUMANN_CAL_T60_SOC100,training
NAUMANN_CAL_T60_SOC50,training
