cell_id,target_condition_id,source_cell_number,storage_soc_fraction,candidate_method,comparator_method,candidate_trajectory_iae_pp,comparator_trajectory_iae_pp,paired_delta_trajectory_iae_pp,candidate_final_absolute_error_pp,comparator_final_absolute_error_pp,paired_delta_final_absolute_error_pp,candidate_outcome
GEISBAUER_LFP_CELL_007,GEISBAUER_LFP_T60_SOC20,7,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,0.46036774449636653,0.85676763676541867,-0.39639989226905215,0.7339795780563918,1.2729877558356435,-0.5390081777792517,candidate_better
GEISBAUER_LFP_CELL_008,GEISBAUER_LFP_T60_SOC20,8,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.1126886383381631,1.8796792272661449,-0.76699058892798178,1.4509351543393763,2.4912238128109578,-1.0402886584715816,candidate_better
GEISBAUER_LFP_CELL_025,GEISBAUER_LFP_T60_SOC50,25,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,2.5984528709206174,2.910970048328096,-0.31251717740747864,3.8780840956162308,4.2976080531574752,-0.41952395754124439,candidate_better
GEISBAUER_LFP_CELL_026,GEISBAUER_LFP_T60_SOC50,26,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,2.2704483537159916,2.619216371627175,-0.34876801791118339,3.5705149182248022,4.0404138720536906,-0.46989895382888847,candidate_better
GEISBAUER_LFP_CELL_043,GEISBAUER_LFP_T60_SOC100,43,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,8.4585678692360204,6.996476948995614,1.4620909202404064,11.428559053408279,9.4998576762741465,1.9287013771341321,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_044,GEISBAUER_LFP_T60_SOC100,44,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,8.5256604791154942,7.1330554139960958,1.3926050651193984,11.511341680971398,9.6722786229385065,1.8390630580328917,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_071,GEISBAUER_LFP_T60_SOC20,71,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.0936228213059067,1.0654632833215061,0.028159537984400629,0.29768298174424501,0.26682524093028803,0.03085774081395698,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_072,GEISBAUER_LFP_T60_SOC20,72,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.5578786370354294,1.5345896815732729,0.02328895546215648,0.64925955352630638,0.62376380505759244,0.025495748468713941,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_083,GEISBAUER_LFP_T60_SOC50,83,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.6993252435235107,1.702224071350912,-0.0028988278274013624,2.7596256784946291,2.7992130081349273,-0.039587329640298208,candidate_better
GEISBAUER_LFP_CELL_084,GEISBAUER_LFP_T60_SOC50,84,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.5293963252736944,1.531585848280713,-0.0021895230070185789,1.8393604071271739,1.8698184884441957,-0.030458081317021879,candidate_better
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,9.0996134365222971,8.9188969337385799,0.1807165027837172,12.140825993809017,11.898133522299943,0.24269247150907347,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_096,GEISBAUER_LFP_T60_SOC100,96,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,9.2979943600210078,9.4861713608513654,-0.1881770008303576,12.623079272986786,12.819678189091391,-0.19659891610460534,candidate_better
GEISBAUER_LFP_CELL_112,GEISBAUER_LFP_T60_SOC100,112,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,9.2098114051005453,8.9851268099955846,0.22468459510496075,12.341312693012014,12.040483511993017,0.30082918101899736,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_115,GEISBAUER_LFP_T60_SOC50,115,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.6812111178847644,1.683411735038618,-0.0022006171538535568,1.6725770955487747,1.7031965908227136,-0.030619495273938924,candidate_better
GEISBAUER_LFP_CELL_118,GEISBAUER_LFP_T60_SOC20,118,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.0067194419871655,0.97458459401655517,0.032134847970610281,0.27801532295850961,0.24277674366570068,0.035238579292808936,candidate_worse_negative_transfer
