scope_type,scope,metric,physical_cell_count,paired_observation_count,candidate_error_mean_pp,comparator_error_mean_pp,mean_paired_delta_pp,median_paired_delta_pp,paired_delta_std_pp,minimum_paired_delta_pp,maximum_paired_delta_pp,candidate_better_count,candidate_worse_count,candidate_numerical_zero_count,numerical_zero_tolerance_pp,exact_sign_test_nonzero_cell_count,exact_sign_test_two_sided_p,exact_mean_sign_flip_nonzero_cell_count,exact_mean_sign_flip_permutation_count,exact_mean_sign_flip_observed_mean_delta_pp,exact_mean_sign_flip_extreme_threshold_pp,exact_mean_sign_flip_inclusive_comparison_epsilon,exact_mean_sign_flip_two_sided_p,multiplicity_adjusted,inference_status
all_physical_cells,all_cells,trajectory_iae_pp,15,15,3.9734505829651314,3.8852146643430436,0.088235918622088211,-0.0021895230070185789,0.60035268501784667,-0.76699058892798178,1.4620909202404064,8,7,0,9.9999999999999998e-13,15,1,15,32768,0.088235918622088211,0.088235918622088211,2.2204460492503131e-16,0.57501220703125,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction,soc_0.2,trajectory_iae_pp,5,5,1.0462554566326063,1.2622168845885795,-0.21596142795597331,0.02328895546215648,0.35867071589105259,-0.76699058892798178,0.032134847970610281,2,3,0,9.9999999999999998e-13,5,1,5,32,-0.21596142795597331,0.21596142795597331,2.2204460492503131e-16,0.5,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction,soc_0.5,trajectory_iae_pp,5,5,1.9557667822637157,2.089481614925103,-0.13371483266138712,-0.0028988278274013624,0.18022615934829511,-0.34876801791118339,-0.0021895230070185789,5,0,0,9.9999999999999998e-13,5,0.0625,5,32,-0.13371483266138712,0.13371483266138712,2.2204460492503131e-16,0.0625,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction,soc_1.0,trajectory_iae_pp,5,5,8.9183295099990723,8.3039454935154478,0.61438401648362506,0.22468459510496075,0.75964997419703961,-0.1881770008303576,1.4620909202404064,1,4,0,9.9999999999999998e-13,5,0.375,5,32,0.61438401648362506,0.61438401648362506,2.2204460492503131e-16,0.1875,False,exploratory_nominal_diagnostics_not_confirmatory_inference
target_elapsed_days,day_84,absolute_error_pp,15,15,2.8018909339420008,2.7345454024520746,0.067345531489926697,0.026079035302984721,0.40472743134938938,-0.49369251938438197,0.99548046334668072,5,10,0,9.9999999999999998e-13,15,0.3017578125,15,32768,0.067345531489926697,0.067345531489926697,2.2204460492503131e-16,0.52813720703125,False,exploratory_nominal_diagnostics_not_confirmatory_inference
target_elapsed_days,day_120,absolute_error_pp,15,15,5.1450102319882625,5.0358839262340123,0.1091263057542496,-0.030458081317021879,0.79674672092575693,-1.0402886584715816,1.9287013771341321,8,7,0,9.9999999999999998e-13,15,1,15,32768,0.1091263057542496,0.1091263057542496,2.2204460492503131e-16,0.6041259765625,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction_by_target_elapsed_days,soc_0.2_day_84,absolute_error_pp,5,5,1.4105363951402468,1.5449182975171225,-0.13438190237687592,0.021082162455599018,0.23440645672673066,-0.49369251938438197,0.029031116648411626,2,3,0,9.9999999999999998e-13,5,1,5,32,-0.13438190237687592,0.13438190237687592,2.2204460492503131e-16,0.5,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction_by_target_elapsed_days,soc_0.2_day_120,absolute_error_pp,5,5,0.68197451812496579,0.9795154716600365,-0.29754095353507071,0.025495748468713941,0.48293923125311888,-1.0402886584715816,0.035238579292808936,2,3,0,9.9999999999999998e-13,5,1,5,32,-0.29754095353507071,0.29754095353507071,2.2204460492503131e-16,0.5,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction_by_target_elapsed_days,soc_0.5_day_84,absolute_error_pp,5,5,1.1675011255251093,1.2369132273276051,-0.069412101802495837,0.026079035302984721,0.13460332505307815,-0.22763708199347832,0.033789673985495483,2,3,0,9.9999999999999998e-13,5,1,5,32,-0.069412101802495837,0.069412101802495837,2.2204460492503131e-16,0.5,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction_by_target_elapsed_days,soc_0.5_day_120,absolute_error_pp,5,5,2.7440324390023223,2.9420500025226004,-0.19801756352027838,-0.039587329640298208,0.22593306825496404,-0.46989895382888847,-0.030458081317021879,5,0,0,9.9999999999999998e-13,5,0.0625,5,32,-0.19801756352027838,0.19801756352027838,2.2204460492503131e-16,0.0625,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction_by_target_elapsed_days,soc_1.0_day_84,absolute_error_pp,5,5,5.8276352811606476,5.4218046825114952,0.40583059864915183,0.14854000919092414,0.53177970079048453,-0.17975508555610986,0.99548046334668072,1,4,0,9.9999999999999998e-13,5,0.375,5,32,0.40583059864915183,0.40583059864915183,2.2204460492503131e-16,0.25,False,exploratory_nominal_diagnostics_not_confirmatory_inference
storage_soc_fraction_by_target_elapsed_days,soc_1.0_day_120,absolute_error_pp,5,5,12.009023738837499,11.186086304519401,0.82293743431809785,0.30082918101899736,0.98792216232648733,-0.19659891610460534,1.9287013771341321,1,4,0,9.9999999999999998e-13,5,0.375,5,32,0.82293743431809785,0.82293743431809785,2.2204460492503131e-16,0.125,False,exploratory_nominal_diagnostics_not_confirmatory_inference
