candidate_condition_id,original_role,mean_route,future_point_count,maximum_standardized_error,maximum_standardized_error_checkup_index,maximum_absolute_error_pp,point_mae_pp,predictive_sd_min_pp,predictive_sd_max_pp,training_state_sha256,condition_prediction_state_sha256
NAUMANN_CAL_T25_SOC50,calibration,hierarchical_power_fallback,25,1.4840726147248924,17,0.97653201356661157,0.55434251492307962,0.1639400674681597,0.85417437586679978,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,754782a661b149a47d082f46f4e0bd04fff5c8f8bf817b92f93e778dfadf6ad0
NAUMANN_CAL_T40_SOC0,calibration,hierarchical_activation_residual,25,1.3647581472849382,28,0.43595511907399498,0.22885505812997906,0.14353024969182065,0.39492259065436935,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,7a41e39a235f12edaaab27d4fbe064560313bc5bb002751f5030ba1ff474bda2
NAUMANN_CAL_T40_SOC100,calibration,hierarchical_power_fallback,25,1.3884373131471051,21,0.47983584872898177,0.3622953458053047,0.15727192295848136,0.52248027385039142,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,0c573ce2a779f0ac02faeeae68462ef55feef77723a5d661ba8406c475f181f8
NAUMANN_CAL_T40_SOC12.5,test,hierarchical_activation_residual,25,1.3909805428624868,28,0.70339311296021378,0.3225732847535181,0.147483125910951,0.53496659600174146,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,ee23906807e7d285b225ed3d36d6b9fe98910254c809c5be67da1b2a5dc1026f
NAUMANN_CAL_T40_SOC25,calibration,hierarchical_power_fallback,25,0.80508985216028539,17,0.51167692218317029,0.28967437455632367,0.16598634343733876,0.94678264640368637,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,f7a86d7791b55e36c5223383b0ea00493b9e367ed847312e12e725fdf7e0f124
NAUMANN_CAL_T40_SOC37.5,test,hierarchical_power_fallback,25,0.92431026412231909,17,0.50777992747633505,0.30471616608512309,0.16345455726363695,0.7933076197033001,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,b54947fb2e9c7b51fffacf5c8263058b578822ccb81ccb1a76bd6004767104e6
NAUMANN_CAL_T40_SOC50,calibration,hierarchical_power_fallback,25,2.1698424743004083,28,1.7488399542059199,0.91459680652227238,0.16680720190741907,0.98272518845469892,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,deb5074649910158ac80069db8b0cfae3109d0797814e88f78ac78e4ae4609b1
NAUMANN_CAL_T40_SOC62.5,test,hierarchical_power_fallback,25,0.79451914703959892,17,0.24312622474212731,0.18995314583270045,0.16168917397675034,0.70535686278165677,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,407e6bd84c27c50bc1f4bebc737e10a712532a7db088cdf0424327ee2b7b2376
NAUMANN_CAL_T40_SOC75,calibration,hierarchical_power_fallback,25,1.1922311952901099,34,0.59121734791780511,0.18650615360287362,0.15647064035557251,0.49589152695668398,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,36cca9af943aa76374dd49b0401e3b7fbbc3e0fbfa6c96b34c8d139b1b14999c
NAUMANN_CAL_T40_SOC87.5,test,hierarchical_power_fallback,25,0.47861229607151423,14,0.098178448952069175,0.038534096693907713,0.15609163158862133,0.48236006819959548,2a5768f904973a75dd3010edd7c8a00774f2f38d18be799d4a8bddb192565a9f,0c7cc282d5320e8d16661256f73e1280d389af78292a95aafc9913955da158fa
