audit_family,scenario_id,removed_condition_id,mean_route,requested_coverage,calibration_condition_count,evaluation_condition_count,order_statistic_rank,multiplier,quantile_status,diagnostic_available_evaluation_count,diagnostic_covered_evaluation_count,diagnostic_coverage_fraction_among_available,all_evaluation_diagnostic_available,all_evaluation_simultaneously_covered,all_evaluation_available_and_covered,diagnostic_mean_width_pp,diagnostic_max_width_pp,diagnostic_interval_score_mean
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50,hierarchical_activation_residual,0.80000000000000004,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50,hierarchical_activation_residual,0.90000000000000002,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50,hierarchical_activation_residual,0.94999999999999996,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50,hierarchical_power_fallback,0.80000000000000004,4,3,4,2.1698424743004083,finite_order_statistic,3,3,1,True,True,True,1.6841507351838452,3.4427051368367643,1.6841507351838452
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50,hierarchical_power_fallback,0.90000000000000002,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T25_SOC50,NAUMANN_CAL_T25_SOC50,hierarchical_power_fallback,0.94999999999999996,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0,hierarchical_activation_residual,0.80000000000000004,0,1,1,,unavailable_no_same_route_calibration,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0,hierarchical_activation_residual,0.90000000000000002,0,1,1,,unavailable_no_same_route_calibration,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0,hierarchical_activation_residual,0.94999999999999996,0,1,1,,unavailable_no_same_route_calibration,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0,hierarchical_power_fallback,0.80000000000000004,5,3,5,2.1698424743004083,finite_order_statistic,3,3,1,True,True,True,1.6841507351838452,3.4427051368367643,1.6841507351838452
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0,hierarchical_power_fallback,0.90000000000000002,5,3,6,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC0,NAUMANN_CAL_T40_SOC0,hierarchical_power_fallback,0.94999999999999996,5,3,6,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25,hierarchical_activation_residual,0.80000000000000004,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25,hierarchical_activation_residual,0.90000000000000002,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25,hierarchical_activation_residual,0.94999999999999996,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25,hierarchical_power_fallback,0.80000000000000004,4,3,4,2.1698424743004083,finite_order_statistic,3,3,1,True,True,True,1.6841507351838452,3.4427051368367643,1.6841507351838452
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25,hierarchical_power_fallback,0.90000000000000002,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC25,NAUMANN_CAL_T40_SOC25,hierarchical_power_fallback,0.94999999999999996,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50,hierarchical_activation_residual,0.80000000000000004,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50,hierarchical_activation_residual,0.90000000000000002,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50,hierarchical_activation_residual,0.94999999999999996,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50,hierarchical_power_fallback,0.80000000000000004,4,3,4,1.4840726147248924,finite_order_statistic,3,3,1,True,True,True,1.1518817678048201,2.3546522269085131,1.1518817678048201
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50,hierarchical_power_fallback,0.90000000000000002,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC50,hierarchical_power_fallback,0.94999999999999996,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75,hierarchical_activation_residual,0.80000000000000004,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75,hierarchical_activation_residual,0.90000000000000002,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75,hierarchical_activation_residual,0.94999999999999996,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75,hierarchical_power_fallback,0.80000000000000004,4,3,4,2.1698424743004083,finite_order_statistic,3,3,1,True,True,True,1.6841507351838452,3.4427051368367643,1.6841507351838452
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75,hierarchical_power_fallback,0.90000000000000002,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC75,hierarchical_power_fallback,0.94999999999999996,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100,hierarchical_activation_residual,0.80000000000000004,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100,hierarchical_activation_residual,0.90000000000000002,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100,hierarchical_activation_residual,0.94999999999999996,1,1,2,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100,hierarchical_power_fallback,0.80000000000000004,4,3,4,2.1698424743004083,finite_order_statistic,3,3,1,True,True,True,1.6841507351838452,3.4427051368367643,1.6841507351838452
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100,hierarchical_power_fallback,0.90000000000000002,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
leave_one_calibration_condition_out,loco_NAUMANN_CAL_T40_SOC100,NAUMANN_CAL_T40_SOC100,hierarchical_power_fallback,0.94999999999999996,4,3,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
