partition_index,partition_id,calibration_condition_ids,evaluation_condition_ids,calibration_condition_count,evaluation_condition_count,fallback_calibration_count,specialist_calibration_count,fallback_evaluation_count,specialist_evaluation_count
1,partition_001_7f8e8e358dd2,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5,NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
2,partition_002_c363cb66dc65,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
3,partition_003_86422e7708a2,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
4,partition_004_90e87da518e7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
5,partition_005_3966cb0fda6e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
6,partition_006_55c15434efa9,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
7,partition_007_f04d3ecb869f,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
8,partition_008_febb0a7e3c3d,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
9,partition_009_c4976fe59509,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
10,partition_010_71057edaa9b6,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
