replicate,status,hard_eligible_count,random_expected_catastrophic_rate,issued_catastrophic_rate,risk_reduction_fraction
0,defined,768,0.39453125,0.318,0.19398019801980193
1,defined,772,0.43393782383419688,0.34000000000000002,0.21647761194029846
2,defined,803,0.44707347447073476,0.33000000000000002,0.26186629526462391
3,defined,776,0.42268041237113402,0.32400000000000001,0.23346341463414633
4,defined,796,0.4334170854271357,0.33200000000000002,0.23399420289855066
5,defined,781,0.43405889884763127,0.31,0.28581120943952809
6,defined,797,0.42785445420326224,0.34999999999999998,0.18196480938416426
7,defined,787,0.44726810673443457,0.34999999999999998,0.21747159090909096
8,defined,767,0.4041720990873533,0.31,0.23299999999999998
9,defined,767,0.40286831812255541,0.318,0.21066019417475723
10,defined,767,0.41460234680573665,0.33800000000000002,0.18476100628930814
11,defined,791,0.43742098609355246,0.34399999999999997,0.21357225433526017
12,defined,796,0.40326633165829145,0.28599999999999998,0.29079127725856702
13,defined,784,0.39923469387755101,0.29799999999999999,0.25357188498402561
14,defined,783,0.4342273307790549,0.35599999999999998,0.18015294117647063
15,defined,773,0.4424320827943079,0.34000000000000002,0.23152046783625724
16,defined,789,0.45500633713561472,0.35799999999999998,0.21319777158774378
17,defined,776,0.4175257731958763,0.34799999999999998,0.16651851851851862
18,defined,777,0.40669240669240669,0.33400000000000002,0.17874050632911387
19,defined,784,0.40306122448979592,0.32600000000000001,0.19118987341772153
20,defined,768,0.42838541666666669,0.34000000000000002,0.20632218844984795
21,defined,783,0.39080459770114945,0.31,0.20676470588235296
22,defined,801,0.46941323345817726,0.374,0.20326063829787233
23,defined,781,0.38540332906530089,0.29599999999999999,0.23197342192691028
24,defined,769,0.39921976592977892,0.32200000000000001,0.19342671009771983
25,defined,789,0.42078580481622307,0.32200000000000001,0.23476506024096389
26,defined,787,0.39135959339263027,0.32000000000000001,0.18233766233766235
27,defined,777,0.41184041184041181,0.318,0.22785624999999998
28,defined,777,0.40025740025740025,0.30199999999999999,0.24548553054662381
