pair_id,left_disagreement_score_pp,right_disagreement_score_pp,left_exceeds_threshold,right_exceeds_threshold,both_members_rejected
p_01b89ff55c182fc36a22c6767c1f5c8a,33.124926633580131,33.124926633580131,False,False,False
p_024d7649d0961227727dd66f947b264f,36.431064690944702,36.431064690944702,True,True,True
p_025ad24ac66cd12526f6a81fb3a940b4,33.655671901539435,33.655671901539435,False,False,False
p_026477c8b3f2df2f62282f8c97e58019,32.401692433242061,32.401692433242061,False,False,False
p_08ce78650f167d3393b1d13a7da62bfb,32.42387296383545,32.42387296383545,False,False,False
p_11ba28b50cd9589015aaccc72b58ff89,32.141997897944023,32.141997897944023,False,False,False
p_1406aa27f8508bd1b25e00e830bc4542,32.953529426524298,32.953529426524298,False,False,False
p_14554cc8670549f441d79ebf775edbb0,42.571760560630501,42.571760560630501,True,True,True
p_14d23633045d2cb6cb4580eb538f7698,33.488076627502323,33.488076627502323,False,False,False
p_1a91e01caa4426f6f956f3bd2e7742ab,33.390557432974873,33.390557432974873,False,False,False
p_1c2f344ada37355aa013d5b8034a168b,36.461876336209777,36.461876336209777,True,True,True
p_1da88751e95741f1d3633773bc6ce73c,35.841923743271344,35.841923743271344,True,True,True
p_1df4820f9db8915a4916a8502f7b5bff,32.581117345430314,32.581117345430314,False,False,False
p_1e0fca2f5d5fc6c2a4ee960a98792cc3,40.740535037119379,40.740535037119379,True,True,True
p_1e40ed51bad0f8ee4dd201f9d4fd50e3,36.353203802170093,36.353203802170093,True,True,True
p_2042d3df715cc1778c0ae19b9a1f1437,33.495433803522047,33.495433803522047,False,False,False
p_20eb16cd8fd1d297dffd544089b23818,32.528195935594937,32.528195935594937,False,False,False
p_215f1cfe1f746400671f0b24e98db2cb,32.141997957797059,32.141997957797059,False,False,False
p_2253a7539a6f56db887359674bc3012a,33.748910876094655,33.748910876094655,False,False,False
p_22da75f9ed9ba2c96e49c1434dfe2a92,32.780633397145792,32.780633397145792,False,False,False
p_237f735141436d56918e85ad53be15b4,37.021972132299744,37.021972132299744,True,True,True
p_239ddcacabb8f1f7f430d01b57cc0064,35.479804013656484,35.479804013656484,False,False,False
p_2531c4a228cb95389410e6a30dafa45b,44.073843779382521,44.073843779382521,True,True,True
p_2543bb753c2ae29d92ecf3af70ff0c24,33.792173059818182,33.792173059818182,False,False,False
p_25978ce2b1a58c576f3bc9b04b1b8d86,32.365084377854174,32.365084377854174,False,False,False
p_2604e1b26e80328aa23e830fe72f258e,39.123871220303691,39.123871220303691,True,True,True
p_2703376093e92f3b1bbc6315d03ea367,55.550550336172087,55.550550336172087,True,True,True
p_2737d1b958966580c9483b7b158bc60e,52.667287299698266,52.667287299698266,True,True,True
p_2853a46e27758b944c7f529bf0e5ddb5,32.403949132881166,32.403949132881166,False,False,False
p_28d9fb84d4d35c97213cb3057b63adc5,57.196131937304493,57.196131937304493,True,True,True
p_2b2fb7a871e4da694825a608cf633389,32.37025220245215,32.37025220245215,False,False,False
p_2b637751b411fb593914fef96cec1d96,inf,inf,False,False,False
p_2b9006cb6cdcab5d5b31c3fb1fd6cfd9,34.805137787868418,34.805137787868418,False,False,False
p_32f6d294b399ed8bf9c703b6dfa1b916,56.857936492134137,56.857936492134137,True,True,True
p_335214e299fd4ac8f6eb6477400e8aad,inf,inf,False,False,False
p_34b242c10844b0a945a9cea951214081,32.754673037562803,32.754673037562803,False,False,False
p_34b543bb3a506f16da61ece430e71995,32.940226606874432,32.940226606874432,False,False,False
p_34d20b6048444170450734af4516687f,32.142001166263171,32.142001166263171,False,False,False
p_3505b9f476cdd15f856654fd0ea9e473,33.657444924101995,33.657444924101995,False,False,False
p_362e08cda58864031acb37ef58925172,32.14199707547926,32.14199707547926,False,False,False
p_370eeb6173bc6a9154f64d9ba1673e03,34.70877380367574,34.70877380367574,False,False,False
p_38543f29f7f174ada131e83ee07a3c9f,32.601246559159257,32.601246559159257,False,False,False
p_393c11905569ba2779a422ec08a468f0,36.644717629376593,36.644717629376593,True,True,True
p_3a6849bbf7d1f0d6d0115c64a7e984c3,32.14199995039499,32.14199995039499,False,False,False
p_3baad0603f4aa7ac52421ef8e0f694e4,36.090602202937752,36.090602202937752,True,True,True
p_3c5b952233dd68843ba0931d298d892b,inf,inf,False,False,False
p_3d25eea983c3e59aac69f8b99c91b459,32.141996694715161,32.141996694715161,False,False,False
p_3d44cc5de5115758d078d9e7171fe2ac,36.605531405909367,36.605531405909367,True,True,True
p_3ef2336bf789f5853a8bc52f8452ee16,34.134920200341128,34.134920200341128,False,False,False
p_4081c059a1b7825e2f8a6e7e045c37b2,43.580959339739145,43.580959339739145,True,True,True
p_41f2d6ef72a8554b73d25687b86b2057,32.142005320127517,32.142005320127517,False,False,False
p_42a6976c3095818b65d43b632c7a32a5,49.157252639489236,49.157252639489236,True,True,True
p_4393f75643c41ea94923fad4840a9174,32.142000351085798,32.142000351085798,False,False,False
p_474f433f731e9f002fa8db3736c8fc6b,32.739223797881166,32.739223797881166,False,False,False
p_479f6f86812946cb42f88a370648f6c6,36.742956779689486,36.742956779689486,True,True,True
p_47d75682fa82ca64cdea35feb4eea900,32.36907502810341,32.36907502810341,False,False,False
p_49284876a2a5e6669bd2c6732954129d,33.151665017198326,33.151665017198326,False,False,False
p_49ea9a74ae4daca6fadd466fb90fb626,39.96925956958372,39.96925956958372,True,True,True
p_4caaddb3f559ac8d5a76f6342a1b0245,32.141996741609603,32.141996741609603,False,False,False
p_4cbd5bf3ba9ac389bf0c4af6f9471e63,35.954990780270244,35.954990780270244,True,True,True
p_50477820c5bed03a95e759fbf0bf831b,36.991155419040957,36.991155419040957,True,True,True
p_511a186dfc232cfc884ac385c501b5db,32.141999949992424,32.141999949992424,False,False,False
p_51ac25f94acbcb4e0bed3258d6c51a7f,47.894299661196193,47.894299661196193,True,True,True
p_51f67258193c0a65b0b498e2f115ddb6,32.227488555490538,32.227488555490538,False,False,False
p_54837ff1681a0cbd9d41b14e7090ae6d,32.141998688440864,32.141998688440864,False,False,False
p_55505b7f7bc1fbc72aad42055fcece6c,32.714468777571767,32.714468777571767,False,False,False
p_58af8d20d664a4c7acba3f77a684b73e,32.141987149304718,32.141987149304718,False,False,False
p_58bac6099e16dfb0138bc45c56997d4f,34.085323119512402,34.085323119512402,False,False,False
p_5b4e0d531fa57dfb5444a185d0b7e075,32.141997043678685,32.141997043678685,False,False,False
p_5cb9cb175a21e59913f2b76cea3ed2f8,32.316930862462996,32.316930862462996,False,False,False
p_5e3d0bcd2d7e29c236eb09f0157d3fa5,34.202144345942372,34.202144345942372,False,False,False
p_5ede7c8fe2055770f6e84a9a62533e06,37.865161428029857,37.865161428029857,True,True,True
