partition,truth_family,credible_structure_family_count,fit_failure_status,cluster_count,total_failed_variant_count,hard_eligible_count,issued_count,declared_variant_count_per_cluster,total_declared_variant_fit_count,failed_variant_fit_rate,cluster_with_any_fit_failure_count,cluster_with_any_fit_failure_rate
audit,dual_power,0,no_failures,2,0,0,0,85,170,0,0,0
audit,dual_power,3,no_failures,1,0,1,1,85,85,0,0,0
audit,dual_power,4,no_failures,11,0,11,9,85,935,0,0,0
audit,dual_power,5,no_failures,85,0,85,60,85,7225,0,0,0
audit,dual_power,6,no_failures,1,0,1,1,85,85,0,0,0
audit,early_activation_plus_power,0,no_failures,45,0,0,0,85,3825,0,0,0
audit,early_activation_plus_power,1,no_failures,3,0,0,0,85,255,0,0,0
audit,early_activation_plus_power,4,no_failures,20,0,20,6,85,1700,0,0,0
audit,early_activation_plus_power,5,no_failures,32,0,32,6,85,2720,0,0,0
audit,late_knee,0,no_failures,3,0,0,0,85,255,0,0,0
audit,late_knee,1,no_failures,2,0,0,0,85,170,0,0,0
audit,late_knee,3,no_failures,1,0,1,1,85,85,0,0,0
audit,late_knee,4,no_failures,18,0,18,12,85,1530,0,0,0
audit,late_knee,5,no_failures,66,0,66,45,85,5610,0,0,0
audit,late_knee,6,no_failures,10,0,10,10,85,850,0,0,0
audit,saturating_plus_slow,0,no_failures,2,0,0,0,85,170,0,0,0
audit,saturating_plus_slow,1,no_failures,44,0,0,0,85,3740,0,0,0
audit,saturating_plus_slow,4,no_failures,33,0,33,17,85,2805,0,0,0
audit,saturating_plus_slow,5,no_failures,21,0,21,15,85,1785,0,0,0
audit,single_power,0,no_failures,5,0,0,0,85,425,0,0,0
audit,single_power,4,no_failures,14,0,14,9,85,1190,0,0,0
audit,single_power,5,no_failures,79,0,79,56,85,6715,0,0,0
audit,single_power,6,no_failures,2,0,2,2,85,170,0,0,0
calibration,dual_power,0,no_failures,1,0,0,0,85,85,0,0,0
calibration,dual_power,1,no_failures,1,0,0,0,85,85,0,0,0
calibration,dual_power,3,no_failures,1,0,1,0,85,85,0,0,0
calibration,dual_power,4,no_failures,12,0,12,0,85,1020,0,0,0
calibration,dual_power,5,no_failures,83,0,83,0,85,7055,0,0,0
calibration,dual_power,6,no_failures,2,0,2,0,85,170,0,0,0
calibration,early_activation_plus_power,0,no_failures,56,0,0,0,85,4760,0,0,0
calibration,early_activation_plus_power,1,no_failures,2,0,0,0,85,170,0,0,0
calibration,early_activation_plus_power,4,no_failures,16,0,16,0,85,1360,0,0,0
calibration,early_activation_plus_power,5,no_failures,25,0,25,0,85,2125,0,0,0
calibration,early_activation_plus_power,6,no_failures,1,0,1,0,85,85,0,0,0
calibration,late_knee,0,no_failures,3,0,0,0,85,255,0,0,0
calibration,late_knee,1,no_failures,3,0,0,0,85,255,0,0,0
calibration,late_knee,4,no_failures,7,0,7,0,85,595,0,0,0
calibration,late_knee,5,no_failures,79,0,79,0,85,6715,0,0,0
calibration,late_knee,6,no_failures,8,0,8,0,85,680,0,0,0
calibration,saturating_plus_slow,0,no_failures,1,0,0,0,85,85,0,0,0
calibration,saturating_plus_slow,1,no_failures,37,0,0,0,85,3145,0,0,0
calibration,saturating_plus_slow,4,no_failures,32,0,32,0,85,2720,0,0,0
calibration,saturating_plus_slow,5,no_failures,30,0,30,0,85,2550,0,0,0
calibration,single_power,0,no_failures,1,0,0,0,85,85,0,0,0
calibration,single_power,1,no_failures,1,0,0,0,85,85,0,0,0
calibration,single_power,4,no_failures,5,0,5,0,85,425,0,0,0
calibration,single_power,5,no_failures,91,0,91,0,85,7735,0,0,0
calibration,single_power,6,no_failures,2,0,2,0,85,170,0,0,0
development,dual_power,0,no_failures,6,0,0,0,85,510,0,0,0
development,dual_power,4,no_failures,11,0,11,0,85,935,0,0,0
development,dual_power,5,no_failures,82,0,82,0,85,6970,0,0,0
development,dual_power,6,no_failures,1,0,1,0,85,85,0,0,0
development,early_activation_plus_power,0,no_failures,53,0,0,0,85,4505,0,0,0
development,early_activation_plus_power,1,no_failures,6,0,0,0,85,510,0,0,0
development,early_activation_plus_power,4,no_failures,21,0,21,0,85,1785,0,0,0
development,early_activation_plus_power,5,no_failures,20,0,20,0,85,1700,0,0,0
development,late_knee,0,no_failures,3,0,0,0,85,255,0,0,0
development,late_knee,1,no_failures,1,0,0,0,85,85,0,0,0
development,late_knee,3,no_failures,1,0,1,0,85,85,0,0,0
development,late_knee,4,no_failures,9,0,9,0,85,765,0,0,0
development,late_knee,5,no_failures,85,0,85,0,85,7225,0,0,0
development,late_knee,6,no_failures,1,0,1,0,85,85,0,0,0
development,saturating_plus_slow,1,no_failures,34,0,0,0,85,2890,0,0,0
development,saturating_plus_slow,2,no_failures,2,0,2,0,85,170,0,0,0
development,saturating_plus_slow,3,no_failures,2,0,2,0,85,170,0,0,0
development,saturating_plus_slow,4,no_failures,26,0,26,0,85,2210,0,0,0
development,saturating_plus_slow,5,no_failures,36,0,36,0,85,3060,0,0,0
development,single_power,0,no_failures,1,0,0,0,85,85,0,0,0
development,single_power,2,no_failures,1,0,1,0,85,85,0,0,0
development,single_power,4,no_failures,16,0,16,0,85,1360,0,0,0
development,single_power,5,no_failures,76,0,76,0,85,6460,0,0,0
development,single_power,6,no_failures,6,0,6,0,85,510,0,0,0
matched_prefix_counterexamples,late_knee,0,no_failures,6,0,0,0,85,510,0,0,0
matched_prefix_counterexamples,late_knee,1,no_failures,1,0,0,0,85,85,0,0,0
matched_prefix_counterexamples,late_knee,4,no_failures,14,0,14,0,85,1190,0,0,0
matched_prefix_counterexamples,late_knee,5,no_failures,171,0,171,0,85,14535,0,0,0
matched_prefix_counterexamples,late_knee,6,no_failures,8,0,8,0,85,680,0,0,0
matched_prefix_counterexamples,single_power,0,no_failures,6,0,0,0,85,510,0,0,0
matched_prefix_counterexamples,single_power,1,no_failures,1,0,0,0,85,85,0,0,0
matched_prefix_counterexamples,single_power,4,no_failures,14,0,14,0,85,1190,0,0,0
matched_prefix_counterexamples,single_power,5,no_failures,171,0,171,0,85,14535,0,0,0
matched_prefix_counterexamples,single_power,6,no_failures,8,0,8,0,85,680,0,0,0
test,dual_power,0,no_failures,3,0,0,0,85,255,0,0,0
test,dual_power,1,no_failures,6,0,0,0,85,510,0,0,0
test,dual_power,4,no_failures,16,0,16,11,85,1360,0,0,0
test,dual_power,5,no_failures,168,0,168,112,85,14280,0,0,0
test,dual_power,6,no_failures,7,0,7,6,85,595,0,0,0
test,early_activation_plus_power,0,no_failures,109,0,0,0,85,9265,0,0,0
test,early_activation_plus_power,1,no_failures,5,0,0,0,85,425,0,0,0
test,early_activation_plus_power,4,no_failures,30,0,30,11,85,2550,0,0,0
test,early_activation_plus_power,5,no_failures,55,0,55,24,85,4675,0,0,0
test,early_activation_plus_power,6,no_failures,1,0,1,1,85,85,0,0,0
test,late_knee,0,no_failures,5,0,0,0,85,425,0,0,0
test,late_knee,1,no_failures,2,0,0,0,85,170,0,0,0
test,late_knee,3,no_failures,1,0,1,1,85,85,0,0,0
test,late_knee,4,no_failures,17,0,17,11,85,1445,0,0,0
test,late_knee,5,no_failures,155,0,155,111,85,13175,0,0,0
test,late_knee,6,no_failures,20,0,20,19,85,1700,0,0,0
test,saturating_plus_slow,0,no_failures,3,0,0,0,85,255,0,0,0
test,saturating_plus_slow,1,no_failures,80,0,0,0,85,6800,0,0,0
test,saturating_plus_slow,2,no_failures,1,0,1,0,85,85,0,0,0
test,saturating_plus_slow,3,no_failures,1,0,1,1,85,85,0,0,0
test,saturating_plus_slow,4,no_failures,44,0,44,23,85,3740,0,0,0
test,saturating_plus_slow,5,no_failures,70,0,70,49,85,5950,0,0,0
test,saturating_plus_slow,6,no_failures,1,0,1,1,85,85,0,0,0
test,single_power,0,no_failures,5,0,0,0,85,425,0,0,0
test,single_power,1,no_failures,1,0,0,0,85,85,0,0,0
test,single_power,4,no_failures,20,0,20,8,85,1700,0,0,0
test,single_power,5,no_failures,166,0,166,105,85,14110,0,0,0
test,single_power,6,no_failures,8,0,8,6,85,680,0,0,0
