ranking_index,status,issued_count,catastrophic_count,catastrophic_rate
0,defined,500,209,0.41799999999999998
1,defined,500,207,0.41399999999999998
2,defined,500,211,0.42199999999999999
3,defined,500,206,0.41199999999999998
4,defined,500,211,0.42199999999999999
5,defined,500,206,0.41199999999999998
6,defined,500,202,0.40400000000000003
7,defined,500,201,0.40200000000000002
8,defined,500,206,0.41199999999999998
9,defined,500,210,0.41999999999999998
10,defined,500,206,0.41199999999999998
11,defined,500,208,0.41599999999999998
12,defined,500,203,0.40600000000000003
13,defined,500,197,0.39400000000000002
14,defined,500,204,0.40799999999999997
15,defined,500,211,0.42199999999999999
16,defined,500,201,0.40200000000000002
17,defined,500,216,0.432
18,defined,500,208,0.41599999999999998
19,defined,500,201,0.40200000000000002
20,defined,500,206,0.41199999999999998
21,defined,500,198,0.39600000000000002
22,defined,500,205,0.40999999999999998
23,defined,500,212,0.42399999999999999
24,defined,500,198,0.39600000000000002
25,defined,500,195,0.39000000000000001
26,defined,500,213,0.42599999999999999
27,defined,500,202,0.40400000000000003
28,defined,500,208,0.41599999999999998
29,defined,500,203,0.40600000000000003
30,defined,500,199,0.39800000000000002
31,defined,500,210,0.41999999999999998
32,defined,500,205,0.40999999999999998
33,defined,500,193,0.38600000000000001
34,defined,500,211,0.42199999999999999
35,defined,500,206,0.41199999999999998
36,defined,500,197,0.39400000000000002
37,defined,500,206,0.41199999999999998
38,defined,500,201,0.40200000000000002
39,defined,500,210,0.41999999999999998
40,defined,500,194,0.38800000000000001
41,defined,500,210,0.41999999999999998
42,defined,500,214,0.42799999999999999
43,defined,500,203,0.40600000000000003
44,defined,500,214,0.42799999999999999
45,defined,500,202,0.40400000000000003
46,defined,500,208,0.41599999999999998
47,defined,500,206,0.41199999999999998
48,defined,500,203,0.40600000000000003
49,defined,500,210,0.41999999999999998
50,defined,500,208,0.41599999999999998
51,defined,500,201,0.40200000000000002
52,defined,500,202,0.40400000000000003
53,defined,500,201,0.40200000000000002
54,defined,500,207,0.41399999999999998
55,defined,500,198,0.39600000000000002
56,defined,500,196,0.39200000000000002
57,defined,500,194,0.38800000000000001
58,defined,500,202,0.40400000000000003
59,defined,500,208,0.41599999999999998
60,defined,500,207,0.41399999999999998
61,defined,500,201,0.40200000000000002
62,defined,500,215,0.42999999999999999
63,defined,500,205,0.40999999999999998
64,defined,500,212,0.42399999999999999
65,defined,500,202,0.40400000000000003
66,defined,500,201,0.40200000000000002
67,defined,500,213,0.42599999999999999
68,defined,500,213,0.42599999999999999
69,defined,500,195,0.39000000000000001
70,defined,500,212,0.42399999999999999
71,defined,500,205,0.40999999999999998
72,defined,500,208,0.41599999999999998
73,defined,500,202,0.40400000000000003
74,defined,500,215,0.42999999999999999
75,defined,500,207,0.41399999999999998
76,defined,500,205,0.40999999999999998
77,defined,500,195,0.39000000000000001
78,defined,500,201,0.40200000000000002
79,defined,500,209,0.41799999999999998
80,defined,500,209,0.41799999999999998
81,defined,500,200,0.40000000000000002
82,defined,500,208,0.41599999999999998
83,defined,500,206,0.41199999999999998
84,defined,500,199,0.39800000000000002
85,defined,500,212,0.42399999999999999
86,defined,500,201,0.40200000000000002
87,defined,500,208,0.41599999999999998
88,defined,500,207,0.41399999999999998
89,defined,500,208,0.41599999999999998
90,defined,500,199,0.39800000000000002
91,defined,500,203,0.40600000000000003
92,defined,500,196,0.39200000000000002
93,defined,500,197,0.39400000000000002
94,defined,500,202,0.40400000000000003
95,defined,500,210,0.41999999999999998
96,defined,500,204,0.40799999999999997
97,defined,500,205,0.40999999999999998
98,defined,500,211,0.42199999999999999
99,defined,500,201,0.40200000000000002
100,defined,500,199,0.39800000000000002
101,defined,500,218,0.436
102,defined,500,207,0.41399999999999998
103,defined,500,195,0.39000000000000001
104,defined,500,202,0.40400000000000003
105,defined,500,204,0.40799999999999997
106,defined,500,211,0.42199999999999999
107,defined,500,214,0.42799999999999999
108,defined,500,216,0.432
109,defined,500,214,0.42799999999999999
110,defined,500,219,0.438
111,defined,500,208,0.41599999999999998
112,defined,500,190,0.38
113,defined,500,216,0.432
114,defined,500,213,0.42599999999999999
115,defined,500,205,0.40999999999999998
116,defined,500,211,0.42199999999999999
117,defined,500,201,0.40200000000000002
118,defined,500,201,0.40200000000000002
119,defined,500,192,0.38400000000000001
120,defined,500,202,0.40400000000000003
121,defined,500,211,0.42199999999999999
122,defined,500,212,0.42399999999999999
123,defined,500,208,0.41599999999999998
124,defined,500,199,0.39800000000000002
125,defined,500,210,0.41999999999999998
126,defined,500,208,0.41599999999999998
127,defined,500,205,0.40999999999999998
128,defined,500,207,0.41399999999999998
129,defined,500,195,0.39000000000000001
130,defined,500,209,0.41799999999999998
131,defined,500,210,0.41999999999999998
132,defined,500,197,0.39400000000000002
133,defined,500,214,0.42799999999999999
134,defined,500,197,0.39400000000000002
135,defined,500,210,0.41999999999999998
136,defined,500,218,0.436
137,defined,500,213,0.42599999999999999
138,defined,500,205,0.40999999999999998
139,defined,500,204,0.40799999999999997
140,defined,500,207,0.41399999999999998
141,defined,500,216,0.432
142,defined,500,209,0.41799999999999998
143,defined,500,215,0.42999999999999999
144,defined,500,208,0.41599999999999998
145,defined,500,204,0.40799999999999997
146,defined,500,210,0.41999999999999998
147,defined,500,209,0.41799999999999998
148,defined,500,206,0.41199999999999998
149,defined,500,211,0.42199999999999999
150,defined,500,194,0.38800000000000001
151,defined,500,206,0.41199999999999998
152,defined,500,202,0.40400000000000003
153,defined,500,213,0.42599999999999999
154,defined,500,204,0.40799999999999997
155,defined,500,209,0.41799999999999998
156,defined,500,202,0.40400000000000003
157,defined,500,216,0.432
158,defined,500,207,0.41399999999999998
159,defined,500,212,0.42399999999999999
160,defined,500,200,0.40000000000000002
161,defined,500,204,0.40799999999999997
162,defined,500,210,0.41999999999999998
163,defined,500,210,0.41999999999999998
164,defined,500,199,0.39800000000000002
165,defined,500,208,0.41599999999999998
166,defined,500,206,0.41199999999999998
167,defined,500,213,0.42599999999999999
168,defined,500,215,0.42999999999999999
169,defined,500,203,0.40600000000000003
170,defined,500,202,0.40400000000000003
171,defined,500,207,0.41399999999999998
172,defined,500,207,0.41399999999999998
173,defined,500,202,0.40400000000000003
174,defined,500,206,0.41199999999999998
175,defined,500,195,0.39000000000000001
176,defined,500,210,0.41999999999999998
177,defined,500,199,0.39800000000000002
178,defined,500,198,0.39600000000000002
179,defined,500,217,0.434
180,defined,500,221,0.442
181,defined,500,203,0.40600000000000003
182,defined,500,211,0.42199999999999999
183,defined,500,206,0.41199999999999998
184,defined,500,206,0.41199999999999998
185,defined,500,212,0.42399999999999999
186,defined,500,206,0.41199999999999998
187,defined,500,206,0.41199999999999998
188,defined,500,202,0.40400000000000003
189,defined,500,208,0.41599999999999998
190,defined,500,213,0.42599999999999999
191,defined,500,204,0.40799999999999997
192,defined,500,208,0.41599999999999998
193,defined,500,201,0.40200000000000002
194,defined,500,212,0.42399999999999999
195,defined,500,206,0.41199999999999998
196,defined,500,201,0.40200000000000002
197,defined,500,198,0.39600000000000002
198,defined,500,211,0.42199999999999999
199,defined,500,218,0.436
200,defined,500,207,0.41399999999999998
201,defined,500,200,0.40000000000000002
202,defined,500,202,0.40400000000000003
203,defined,500,208,0.41599999999999998
204,defined,500,197,0.39400000000000002
205,defined,500,206,0.41199999999999998
206,defined,500,202,0.40400000000000003
207,defined,500,195,0.39000000000000001
208,defined,500,207,0.41399999999999998
209,defined,500,205,0.40999999999999998
210,defined,500,211,0.42199999999999999
211,defined,500,202,0.40400000000000003
212,defined,500,194,0.38800000000000001
213,defined,500,201,0.40200000000000002
214,defined,500,200,0.40000000000000002
215,defined,500,201,0.40200000000000002
216,defined,500,198,0.39600000000000002
217,defined,500,208,0.41599999999999998
218,defined,500,205,0.40999999999999998
219,defined,500,216,0.432
