issued_count,coverage_fraction_of_all_test_clusters,coverage_fraction_of_hard_eligible_clusters,catastrophic_count,catastrophic_rate,mean_trajectory_iae_pp,maximum_issued_disagreement_pp,predeclared_25_50_75_marker
1,0.001,0.0012804097311139564,0,0,1.0940473371308841,4.3469285619308238,
2,0.002,0.0025608194622279128,1,0.5,2.6144099914459598,6.445959681543215,
3,0.0030000000000000001,0.0038412291933418692,2,0.66666666666666663,7.1475125189903315,27.319283464673191,
4,0.0040000000000000001,0.0051216389244558257,3,0.75,5.9105909163983865,31.696958556971424,
5,0.0050000000000000001,0.0064020486555697821,3,0.59999999999999998,5.1212806191044278,32.141988711448228,
6,0.0060000000000000001,0.0076824583866837385,4,0.66666666666666663,4.8376513758581359,32.141989465492905,
7,0.0070000000000000001,0.0089628681177976958,5,0.7142857142857143,4.6856461719241613,32.141989900246848,
8,0.0080000000000000002,0.010243277848911651,6,0.75,5.2362100371203795,32.141990151546572,
9,0.0089999999999999993,0.011523687580025609,7,0.77777777777777779,6.1080881106868743,32.141991090513265,
10,0.01,0.012804097311139564,8,0.80000000000000004,6.6746385291876518,32.141994041266393,
11,0.010999999999999999,0.014084507042253521,9,0.81818181818181823,6.796533029088601,32.141995373339078,
12,0.012,0.015364916773367477,9,0.75,6.2665799061003709,32.141995428828452,
13,0.012999999999999999,0.016645326504481434,9,0.69230769230769229,5.8521388467253681,32.141995436569175,
14,0.014,0.017925736235595392,10,0.7142857142857143,5.8999487968000377,32.141995555664046,
15,0.014999999999999999,0.019206145966709345,11,0.73333333333333328,5.9408404283584622,32.141995560603156,
16,0.016,0.020486555697823303,11,0.6875,5.5783737532519755,32.141995616673348,
17,0.017000000000000001,0.02176696542893726,11,0.6470588235294118,5.3132291570042414,32.141995648093229,
18,0.017999999999999999,0.023047375160051217,11,0.61111111111111116,5.1073539696653567,32.141995717211266,
19,0.019,0.024327784891165175,11,0.57894736842105265,4.8986769646690291,32.141995902103773,
20,0.02,0.025608194622279128,11,0.55000000000000004,4.7369871198188074,32.141995909145571,
21,0.021000000000000001,0.026888604353393086,11,0.52380952380952384,4.6375240519030987,32.141995963172853,
22,0.021999999999999999,0.028169014084507043,11,0.5,4.4585314198182111,32.141996190155915,
23,0.023,0.029449423815621,11,0.47826086956521741,4.306068084217455,32.141996305639111,
24,0.024,0.030729833546734954,11,0.45833333333333331,4.1522414209837715,32.141996329140781,
25,0.025000000000000001,0.032010243277848911,12,0.47999999999999998,4.1279126503681187,32.141996385399658,
26,0.025999999999999999,0.033290653008962869,12,0.46153846153846156,4.0332915247172014,32.141996596746381,
27,0.027,0.034571062740076826,13,0.48148148148148145,4.0392789681762968,32.14199668797113,
28,0.028000000000000001,0.035851472471190783,13,0.4642857142857143,3.9148443130025332,32.141996766177812,
29,0.029000000000000001,0.03713188220230474,13,0.44827586206896552,3.8436439064334693,32.141996830067896,
30,0.029999999999999999,0.038412291933418691,14,0.46666666666666667,3.7863356663591974,32.141996857332508,
31,0.031,0.039692701664532648,14,0.45161290322580644,3.7075845129276814,32.141996861918088,
32,0.032000000000000001,0.040973111395646605,15,0.46875,3.6535328066332733,32.141996963498258,
33,0.033000000000000002,0.042253521126760563,15,0.45454545454545453,3.579875576730863,32.141996994180246,
34,0.034000000000000002,0.04353393085787452,15,0.44117647058823528,3.4854709189631867,32.141997074733524,
35,0.035000000000000003,0.044814340588988477,15,0.42857142857142855,3.4124467109725991,32.141997101275209,
36,0.035999999999999997,0.046094750320102434,15,0.41666666666666669,3.3534597691888761,32.141997129889631,
37,0.036999999999999998,0.047375160051216392,15,0.40540540540540543,3.2724987718920273,32.14199717400642,
38,0.037999999999999999,0.048655569782330349,15,0.39473684210526316,3.2349259190672459,32.141997277806837,
39,0.039,0.049935979513444299,15,0.38461538461538464,3.1754935486897735,32.141997378567638,
40,0.040000000000000001,0.051216389244558257,15,0.375,3.1285290364940721,32.141997529685156,
41,0.041000000000000002,0.052496798975672214,15,0.36585365853658536,3.0615463879012519,32.141997534351695,
42,0.042000000000000003,0.053777208706786171,15,0.35714285714285715,2.9980865745661456,32.141997619112317,
