cell_id,previous_prefix_cycle,current_prefix_cycle,future_row_count,previous_trajectory_mae_pp,current_trajectory_mae_pp,delta_mae_pp
MATR_B1C0,20,40,260,0.93993770901017015,0.29759943120664106,-0.64233827780352915
MATR_B1C14,20,40,260,0.06500608580095131,0.03485244985879736,-0.03015363594215395
MATR_B1C16,20,40,260,0.46757926230232422,0.060344688146178965,-0.40723457415614528
MATR_B1C2,20,40,260,0.13788892854822285,0.053386783167094186,-0.084502145381128657
MATR_B1C20,20,40,260,0.60262436896151317,0.74648436931715212,0.14386000035563895
MATR_B1C23,20,40,260,0.073306558898479326,0.11337013688894435,0.040063577990465019
MATR_B1C25,20,40,260,0.14373051991904295,0.077619435378765797,-0.066111084540277157
MATR_B1C27,20,40,260,0.045895775428862445,0.02193561980478374,-0.023960155624078706
MATR_B1C29,20,40,260,0.016397675478756375,0.02507015436060266,0.0086724788818462843
MATR_B1C31,20,40,260,0.068000809584123745,0.54753877746236235,0.4795379678782386
MATR_B1C33,20,40,260,0.10274271733962304,0.049971297158315657,-0.052771420181307378
MATR_B1C35,20,40,260,0.058251012097691519,0.044888836857313937,-0.013362175240377583
MATR_B1C37,20,40,260,0.094624899501424359,0.075350676994090773,-0.019274222507333585
MATR_B1C39,20,40,260,0.037228775444358098,0.051871288470514212,0.014642513026156115
MATR_B1C4,20,40,260,0.08151846818134624,0.051966589044992489,-0.029551879136353751
MATR_B1C41,20,40,260,0.02174340777117436,0.018180669931304131,-0.0035627378398702288
MATR_B1C43,20,40,260,0.19158739137930544,0.023551452666728232,-0.16803593871257722
MATR_B1C45,20,40,260,0.052689086906101378,0.071284529695653409,0.018595442789552032
MATR_B1C6,20,40,260,0.095928762635008546,0.21049924867745187,0.11457048604244333
MATR_B1C9,20,40,260,0.35070822993184064,0.15649506053680612,-0.19421316939503452
MATR_B2C10,20,40,260,0.51715756630373144,0.1589997038398967,-0.35815786246383474
MATR_B2C12,20,40,260,0.48248468907396141,0.53141324629220654,0.048928557218245128
MATR_B2C14,20,40,260,0.23322783237407363,0.083809735283776984,-0.14941809709029663
MATR_B2C18,20,40,260,0.56348348207893217,0.18369633861266391,-0.3797871434662683
MATR_B2C20,20,40,260,0.6498183640846481,0.15089396474815184,-0.49892439933649624
MATR_B2C22,20,40,260,0.15784896800509784,0.088587497934417753,-0.069261470070680092
MATR_B2C24,20,40,260,0.20021844848685574,0.054829308417408004,-0.14538914006944775
MATR_B2C26,20,40,260,0.20258881842118578,0.28613145498054793,0.083542636559362143
MATR_B2C28,20,40,260,0.54870723410237388,0.58899081065455339,0.040283576552179512
MATR_B2C3,20,40,260,2.5718410654523258,2.2819383180416737,-0.28990274741065214
MATR_B2C30,20,40,260,0.095222612808599547,0.12352646501481716,0.028303852206217617
