cell_id,previous_prefix_cycle,current_prefix_cycle,future_row_count,previous_trajectory_mae_pp,current_trajectory_mae_pp,delta_mae_pp
MATR_B1C1,20,40,260,0.96491314383533422,0.054112707891970153,-0.91080043594336402
MATR_B1C11,20,40,260,0.32074609360024564,0.023925809845938336,-0.2968202837543073
MATR_B1C15,20,40,260,0.39060604221087963,0.046576300973382535,-0.34402974123749708
MATR_B1C17,20,40,260,0.074617381111776432,0.061634811446641069,-0.012982569665135363
MATR_B1C19,20,40,260,0.14734497116338852,0.1632143929298982,0.015869421766509684
MATR_B1C21,20,40,260,0.71394047743098621,0.7813178443782981,0.06737736694731189
MATR_B1C24,20,40,260,0.040312590781436071,0.15115222009104687,0.1108396293096108
MATR_B1C26,20,40,260,0.057541522879201452,0.037496072690160309,-0.020045450189041143
MATR_B1C28,20,40,260,0.17284117986862269,0.13012792097045658,-0.042713258898166101
MATR_B1C3,20,40,260,0.12934014948178391,0.068842839939948205,-0.0604973095418357
MATR_B1C30,20,40,260,0.06272811441513354,0.0230918077703029,-0.039636306644830643
MATR_B1C32,20,40,260,0.027404987158935894,0.013889397497037837,-0.013515589661898057
MATR_B1C34,20,40,260,0.022211923837816547,0.1221616770839616,0.099949753246145051
MATR_B1C36,20,40,260,0.030432113221735446,0.022724628881940299,-0.0077074843397951474
MATR_B1C38,20,40,260,0.031407046209686484,0.090380813098921653,0.058973766889235169
MATR_B1C40,20,40,260,0.037145919161704635,0.037844062667159103,0.00069814350545446824
MATR_B1C42,20,40,260,0.041605518786357827,0.036461434999464727,-0.0051440837868931
MATR_B1C44,20,40,260,0.17114579044925779,0.30678699357773653,0.13564120312847874
MATR_B1C5,20,40,260,0.1450403856190941,0.070616235078299144,-0.074424150540794959
MATR_B1C7,20,40,260,0.66381172510643116,0.025319013214136387,-0.63849271189229473
MATR_B2C0,20,40,260,4.8603026945640044,4.3656367308626383,-0.49466596370136617
MATR_B2C11,20,40,260,0.54129837917551371,0.21402706285380257,-0.32727131632171114
MATR_B2C13,20,40,260,0.18697445306017843,0.21702834990084788,0.030053896840669447
MATR_B2C17,20,40,260,2.3153740581362574,0.21095829440674593,-2.1044157637295116
MATR_B2C19,20,40,260,2.3706576783517979,1.6561152402253398,-0.71454243812645801
MATR_B2C2,20,40,260,0.13029898571164619,0.38809419418078606,0.25779520846913984
MATR_B2C21,20,40,260,0.58706949604461589,0.065994996701829442,-0.52107449934278649
MATR_B2C23,20,40,260,1.2451499868749194,0.80502167128116842,-0.44012831559375099
MATR_B2C25,20,40,260,0.49274312340965581,0.5091624182711878,0.016419294861531986
MATR_B2C27,20,40,260,0.068012643132340247,0.43142363536572642,0.36341099223338619
MATR_B2C29,20,40,260,0.77918042695678991,0.36395523521226347,-0.41522519174452643
MATR_B2C31,20,40,260,0.062618613371981269,0.046996313515771743,-0.015622299856209526
MATR_B2C33,20,40,260,0.61451939506491304,0.60951557107458387,-0.0050038239903291704
MATR_B2C35,20,40,260,0.39098443129153415,0.14573156670469486,-0.24525286458683929
MATR_B2C37,20,40,260,0.33100514770562767,0.35194107684858483,0.020935929142957166
