"candidate_id","model_id","family","reference_count","aggregation","mean_trajectory_mae_pp","median_trajectory_mae_pp","maximum_cell_prefix_mae_pp"
"pairwise_extra_trees_leaf3_48__k12__weighted_mean","pairwise_extra_trees_leaf3_48","extra_trees","12","weighted_mean","0.35440177320602056","0.13287349110975102","4.5187292851798437"
"pairwise_extra_trees_leaf3_48__k8__weighted_mean","pairwise_extra_trees_leaf3_48","extra_trees","8","weighted_mean","0.35567018159039071","0.13086680843481491","4.482529551662962"
"pairwise_extra_trees_leaf3_48__k8__weighted_median","pairwise_extra_trees_leaf3_48","extra_trees","8","weighted_median","0.35638756476135597","0.13888749620748764","4.4674665846362984"
"pairwise_extra_trees_leaf3_48__k12__weighted_median","pairwise_extra_trees_leaf3_48","extra_trees","12","weighted_median","0.35703630895682958","0.14014242785471764","4.4911557322143425"
"pairwise_extra_trees_leaf3_48__k16__weighted_median","pairwise_extra_trees_leaf3_48","extra_trees","16","weighted_median","0.35737854663747409","0.12783145262070003","4.510756266091283"
"pairwise_extra_trees_leaf3_48__k16__weighted_mean","pairwise_extra_trees_leaf3_48","extra_trees","16","weighted_mean","0.35825019629455479","0.12994851290651555","4.526996206974963"
"pairwise_extra_trees_leaf8_48__k12__weighted_mean","pairwise_extra_trees_leaf8_48","extra_trees","12","weighted_mean","0.36033211490095918","0.12767523637858519","4.5323387550306427"
"pairwise_extra_trees_leaf16_48__k12__weighted_median","pairwise_extra_trees_leaf16_48","extra_trees","12","weighted_median","0.36066299965964999","0.13938373554366307","4.5427707684610352"
"pairwise_extra_trees_leaf16_48__k12__weighted_mean","pairwise_extra_trees_leaf16_48","extra_trees","12","weighted_mean","0.36096976145957993","0.12855997063500635","4.5725425284878911"
"pairwise_extra_trees_leaf16_48__k8__weighted_median","pairwise_extra_trees_leaf16_48","extra_trees","8","weighted_median","0.36099320005644936","0.13728677410355794","4.5306923169458768"
"pairwise_extra_trees_leaf8_48__k8__weighted_mean","pairwise_extra_trees_leaf8_48","extra_trees","8","weighted_mean","0.361606769652492","0.12958927469116754","4.5033304439314197"
"pairwise_extra_trees_leaf16_48__k8__weighted_mean","pairwise_extra_trees_leaf16_48","extra_trees","8","weighted_mean","0.3619436874477332","0.13340726623578264","4.5547090658554534"
"pairwise_extra_trees_leaf8_48__k12__weighted_median","pairwise_extra_trees_leaf8_48","extra_trees","12","weighted_median","0.3622928944755695","0.13404710413683499","4.5035858061959635"
"pairwise_extra_trees_leaf16_48__k16__weighted_median","pairwise_extra_trees_leaf16_48","extra_trees","16","weighted_median","0.3629457149655308","0.13110628475922498","4.5514817745432818"
"pairwise_extra_trees_leaf3_48__k4__weighted_median","pairwise_extra_trees_leaf3_48","extra_trees","4","weighted_median","0.36304725570155166","0.14780738397217025","4.5042170752827024"
"pairwise_extra_trees_leaf3_48__k4__weighted_mean","pairwise_extra_trees_leaf3_48","extra_trees","4","weighted_mean","0.36363739249976768","0.12801676327173683","4.4460197271074255"
"pairwise_extra_trees_leaf8_48__k16__weighted_mean","pairwise_extra_trees_leaf8_48","extra_trees","16","weighted_mean","0.36372639495317161","0.12873951935617134","4.5404040050119248"
"pairwise_extra_trees_leaf8_48__k8__weighted_median","pairwise_extra_trees_leaf8_48","extra_trees","8","weighted_median","0.36435848445828106","0.13458945095830305","4.4728808047232036"
"pairwise_extra_trees_leaf8_48__k16__weighted_median","pairwise_extra_trees_leaf8_48","extra_trees","16","weighted_median","0.36463946757149329","0.12375574457560584","4.5165000143954863"
