previous_prefix_cycle,current_prefix_cycle,gate_id,correction_candidate_id,physical_cell_count,activation_count,activation_coverage,activation_precision,mean_gated_delta_mae_pp,active_p90_delta_mae_pp,active_maximum_delta_mae_pp,eligible
20,40,a0p1_d06_r50,theil_all_a0p1,41,13,0.31707317073170732,0.61538461538461542,-0.0014189529519597086,0.053634282309361528,0.21795995772967178,False
20,40,a0p1_d04_r00,theil_all_a0p1,41,16,0.3902439024390244,0.5625,-0.00086977161250007733,0.052420499735988751,0.21795995772967178,False
20,40,a0p1_d04_r50,theil_all_a0p1,41,16,0.3902439024390244,0.5625,-0.00086977161250007733,0.052420499735988751,0.21795995772967178,False
20,40,a0p1_d08_r50,theil_all_a0p1,41,7,0.17073170731707318,0.5714285714285714,-0.0002908513593639666,0.11985006550683479,0.21795995772967178,False
20,40,no_update,,41,0,0,,0,,,False
20,40,a0p25_d06_r50,theil_all_a0p25,41,13,0.31707317073170732,0.46153846153846156,0.0023955214251462726,0.22732420324573971,0.54425000805066293,False
20,40,a0p1_d02_r70,theil_all_a0p1,41,16,0.3902439024390244,0.5,0.0024299645300067301,0.052420499735988751,0.21795995772967178,False
20,40,a0p25_d08_r50,theil_all_a0p25,41,7,0.17073170731707318,0.5714285714285714,0.0024477559178334705,0.36773231540937212,0.54425000805066293,False
20,40,a0p25_d04_r00,theil_all_a0p25,41,16,0.3902439024390244,0.375,0.0061226503063307189,0.19322972764158192,0.54425000805066293,False
20,40,a0p25_d04_r50,theil_all_a0p25,41,16,0.3902439024390244,0.375,0.0061226503063307189,0.19322972764158192,0.54425000805066293,False
20,40,a0p25_d02_r70,theil_all_a0p25,41,16,0.3902439024390244,0.3125,0.014367771982706223,0.19322972764158192,0.54425000805066293,False
40,60,a0p25_d06_r50,theil_all_a0p25,41,6,0.14634146341463414,0.83333333333333337,-0.017122038060694678,0.007585555885661302,0.094189944274411852,False
40,60,a0p25_d08_r50,theil_all_a0p25,41,4,0.097560975609756101,1,-0.016980593868571391,-0.09954576910403895,-0.079018832503089248,False
40,60,a0p25_d04_r00,theil_all_a0p25,41,9,0.21951219512195122,0.66666666666666663,-0.016493067730388142,0.066767923045648991,0.094189944274411852,False
40,60,a0p25_d04_r50,theil_all_a0p25,41,9,0.21951219512195122,0.66666666666666663,-0.016493067730388142,0.066767923045648991,0.094189944274411852,False
40,60,a0p25_d02_r70,theil_all_a0p25,41,7,0.17073170731707318,0.7142857142857143,-0.010349155716842957,0.052765136074012398,0.059912417738458262,False
40,60,a0p1_d06_r50,theil_all_a0p1,41,6,0.14634146341463414,0.83333333333333337,-0.0077227709811141122,-0.0013195601541372559,0.037665142187992995,False
40,60,a0p1_d04_r00,theil_all_a0p1,41,9,0.21951219512195122,0.66666666666666663,-0.0076879678442697439,0.025433436900950103,0.037665142187992995,False
40,60,a0p1_d04_r50,theil_all_a0p1,41,9,0.21951219512195122,0.66666666666666663,-0.0076879678442697439,0.025433436900950103,0.037665142187992995,False
40,60,a0p1_d08_r50,theil_all_a0p1,41,4,0.097560975609756101,1,-0.0076584021931074171,-0.061138067025441743,-0.059429486665361186,False
40,60,a0p1_d02_r70,theil_all_a0p1,41,7,0.17073170731707318,0.7142857142857143,-0.0042139779229312495,0.020456332313416814,0.022375510579189378,True
40,60,no_update,,41,0,0,,0,,,False
60,100,a0p25_d04_r00,theil_all_a0p25,41,11,0.26829268292682928,0.81818181818181823,-0.020434793689289514,0.030304736589501446,0.047472773960225756,True
60,100,a0p25_d04_r50,theil_all_a0p25,41,11,0.26829268292682928,0.81818181818181823,-0.020434793689289514,0.030304736589501446,0.047472773960225756,True
60,100,a0p25_d06_r50,theil_all_a0p25,41,7,0.17073170731707318,0.8571428571428571,-0.019724578213648265,0.0032111661264161012,0.047472773960225756,True
60,100,a0p25_d02_r70,theil_all_a0p25,41,10,0.24390243902439024,0.69999999999999996,-0.018662350693769741,0.032021540326573873,0.047472773960225756,True
60,100,a0p25_d08_r50,theil_all_a0p25,41,5,0.12195121951219512,0.80000000000000004,-0.018166839710378118,0.0037961780743974785,0.047472773960225756,False
60,100,a0p1_d04_r00,theil_all_a0p1,41,11,0.26829268292682928,0.90909090909090906,-0.0088903151711315024,-0.0015949468528608408,0.012121894635800934,True
60,100,a0p1_d04_r50,theil_all_a0p1,41,11,0.26829268292682928,0.90909090909090906,-0.0088903151711315024,-0.0015949468528608408,0.012121894635800934,True
60,100,a0p1_d06_r50,theil_all_a0p1,41,7,0.17073170731707318,1,-0.0085652474354346465,-0.0097038217989861026,-0.0015949468528608408,True
60,100,a0p1_d02_r70,theil_all_a0p1,41,10,0.24390243902439024,0.80000000000000004,-0.0081753724451871634,0.0061972980588398093,0.012121894635800934,True
60,100,a0p1_d08_r50,theil_all_a0p1,41,5,0.12195121951219512,1,-0.007813072071297807,-0.01083196263241166,-0.0015949468528608408,False
60,100,no_update,,41,0,0,,0,,,False
