previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,physical_cell_count,mean_base_trajectory_mae_pp,mean_updated_trajectory_mae_pp,mean_delta_mae_pp,fraction_cells_improved,p90_cell_delta_mae_pp,eligible
20,40,theil_all_a0p1,robust_local_trend,41,0.35218217163047016,0.35118565177430688,-0.00099651985616326156,0.53658536585365857,0.036774640413581361,True
20,40,no_update,no_update,41,0.35218217163047016,0.35218217163047016,0,0,0,False
20,40,theil_last_10_a0p1,robust_local_trend,41,0.35218217163047016,0.35535977786779166,0.0031776062373214467,0.3902439024390244,0.044295629813209232,False
20,40,alpha_beta_slow_a0p25,bounded_alpha_beta,41,0.35218217163047016,0.35605401230749423,0.0038718406770240632,0.51219512195121952,0.071247207563896964,False
20,40,alpha_beta_balanced_a0p25,bounded_alpha_beta,41,0.35218217163047016,0.35886790733166168,0.0066857357011915154,0.46341463414634149,0.09894023184323425,False
20,40,theil_all_a0p25,robust_local_trend,41,0.35218217163047016,0.35901080203208025,0.0068286304016100374,0.43902439024390244,0.09195821119318337,False
20,40,theil_last_10_a0p25,robust_local_trend,41,0.35218217163047016,0.36894010316397335,0.016757931533503117,0.34146341463414637,0.1520416475682074,False
20,40,alpha_beta_slow_a0p5,bounded_alpha_beta,41,0.35218217163047016,0.37163191128436579,0.019449739653895619,0.46341463414634149,0.1428255554561689,False
20,40,theil_all_a0p5,robust_local_trend,41,0.35218217163047016,0.37273523225845184,0.020553060627981672,0.41463414634146339,0.18393082915918663,False
20,40,alpha_beta_balanced_a0p5,bounded_alpha_beta,41,0.35218217163047016,0.37538415183298462,0.02320198020251444,0.43902439024390244,0.20468135524441047,False
20,40,theil_last_10_a0p5,robust_local_trend,41,0.35218217163047016,0.39755505092962767,0.045372879299157565,0.29268292682926828,0.3046938137029126,False
40,60,theil_all_a0p25,robust_local_trend,41,0.30547823607127428,0.29580628821820482,-0.0096719478530695145,0.48780487804878048,0.04941185122868437,False
40,60,theil_all_a0p5,robust_local_trend,41,0.30547823607127428,0.29692840574428003,-0.0085498303269943166,0.46341463414634149,0.11577916116670976,False
40,60,theil_all_a0p1,robust_local_trend,41,0.30547823607127428,0.29976345332925863,-0.0057147827420157291,0.51219512195121952,0.0191768801362351,True
40,60,alpha_beta_balanced_a0p25,bounded_alpha_beta,41,0.30547823607127428,0.30126239468823662,-0.0042158413830376768,0.43902439024390244,0.039971006625559663,False
40,60,alpha_beta_slow_a0p25,bounded_alpha_beta,41,0.30547823607127428,0.3017386635236996,-0.0037395725475747477,0.46341463414634149,0.036572802830261729,False
40,60,alpha_beta_slow_a0p5,bounded_alpha_beta,41,0.30547823607127428,0.30331114176276092,-0.0021670943085134536,0.43902439024390244,0.07569404587558945,False
40,60,alpha_beta_balanced_a0p5,bounded_alpha_beta,41,0.30547823607127428,0.30397235459827038,-0.0015058814730039825,0.3902439024390244,0.082403539622041555,False
40,60,no_update,no_update,41,0.30547823607127428,0.30547823607127428,0,0,0,False
40,60,theil_last_10_a0p1,robust_local_trend,41,0.30547823607127428,0.3057805869064078,0.00030235083513349963,0.53658536585365857,0.037865740550718729,False
40,60,theil_last_10_a0p25,robust_local_trend,41,0.30547823607127428,0.31045812651280208,0.004979890441527763,0.48780487804878048,0.095061374861554304,False
40,60,theil_last_10_a0p5,robust_local_trend,41,0.30547823607127428,0.32560722287754068,0.020128986806266295,0.43902439024390244,0.19038743204628011,False
60,100,theil_all_a0p5,robust_local_trend,41,0.24359906485841418,0.21093459076525609,-0.032664474093158057,0.53658536585365857,0.042848621924137409,True
60,100,alpha_beta_slow_a0p5,bounded_alpha_beta,41,0.24359906485841418,0.21774378190971364,-0.025855282948700566,0.48780487804878048,0.06671734225654094,False
60,100,alpha_beta_balanced_a0p5,bounded_alpha_beta,41,0.24359906485841418,0.22178664533080419,-0.021812419527609959,0.48780487804878048,0.064630403224444855,False
60,100,theil_all_a0p25,robust_local_trend,41,0.24359906485841418,0.22305918376946993,-0.020539881088944254,0.58536585365853655,0.021312228891651519,True
60,100,alpha_beta_slow_a0p25,bounded_alpha_beta,41,0.24359906485841418,0.22519805089357789,-0.018401013964836316,0.53658536585365857,0.028081417389188918,True
60,100,theil_last_10_a0p25,robust_local_trend,41,0.24359906485841418,0.2255712570396789,-0.018027807818735257,0.58536585365853655,0.047195279670663351,True
60,100,alpha_beta_balanced_a0p25,bounded_alpha_beta,41,0.24359906485841418,0.22637743710847455,-0.017221627749939589,0.53658536585365857,0.030320234135720985,True
60,100,theil_last_10_a0p5,robust_local_trend,41,0.24359906485841418,0.22695738244166982,-0.016641682416744297,0.51219512195121952,0.10363446613651631,False
60,100,theil_last_10_a0p1,robust_local_trend,41,0.24359906485841418,0.23367803587930208,-0.0099210289791120728,0.65853658536585369,0.012317536089704928,True
60,100,theil_all_a0p1,robust_local_trend,41,0.24359906485841418,0.23459395077565048,-0.0090051140827637072,0.6097560975609756,0.0069803483103511033,True
60,100,no_update,no_update,41,0.24359906485841418,0.24359906485841418,0,0,0,False
