cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp,selected_candidate_id,selection_fit_cell_count
MATR_B1C1,20,40,theil_all_a0p1,robust_local_trend,20,260,0.054112707891970153,0.10323153991413135,0.049118832022161198,0.13927046501319415,0.27747372339793469,theil_all_a0p1,40
MATR_B1C11,20,40,theil_all_a0p1,robust_local_trend,20,260,0.023925809845938336,0.021013067546654059,-0.0029127422992842773,0.010519236445500813,0.020957865715174034,theil_all_a0p1,40
MATR_B1C15,20,40,theil_all_a0p1,robust_local_trend,20,260,0.046576300973382535,0.0442302255969515,-0.0023460753764310352,0.043650985113726976,0.086967479920069063,theil_all_a0p1,40
MATR_B1C17,20,40,theil_all_a0p1,robust_local_trend,20,260,0.061634811446641069,0.064881497481963965,0.003246686035322896,0.017428944003995639,0.034724332881523878,theil_all_a0p1,40
MATR_B1C19,20,40,theil_all_a0p1,robust_local_trend,20,260,0.1632143929298982,0.15724247951794859,-0.0059719134119496087,0.00640454586470316,0.012760014749600165,theil_all_a0p1,40
MATR_B1C21,20,40,no_update,no_update,20,260,0.7813178443782981,0.7813178443782981,0,0,0,no_update,40
MATR_B1C24,20,40,theil_all_a0p1,robust_local_trend,20,260,0.15115222009104687,0.16514223180757515,0.013990011716528278,0.014009831106245357,0.027912307184856648,theil_all_a0p1,40
MATR_B1C26,20,40,theil_all_a0p1,robust_local_trend,20,260,0.037496072690160309,0.043869471604687453,0.0063733989145271439,0.015544209101037083,0.030969305488656257,theil_all_a0p1,40
MATR_B1C28,20,40,theil_all_a0p1,robust_local_trend,20,260,0.13012792097045658,0.11442604313589338,-0.015701877834563199,0.015888247492745082,0.031654745962557254,theil_all_a0p1,40
MATR_B1C3,20,40,theil_all_a0p1,robust_local_trend,20,260,0.068842839939948205,0.056697152439729157,-0.012145687500219049,0.012145687500217744,0.024198304598134969,theil_all_a0p1,40
MATR_B1C30,20,40,theil_all_a0p1,robust_local_trend,20,260,0.0230918077703029,0.02168054465801024,-0.0014112631122926607,0.0077183387834075644,0.015377533208321584,theil_all_a0p1,40
MATR_B1C32,20,40,theil_all_a0p1,robust_local_trend,20,260,0.013889397497037837,0.014739166922112246,0.00084976942507440818,0.002769417098705383,0.0055176126104475049,theil_all_a0p1,40
MATR_B1C34,20,40,theil_all_a0p1,robust_local_trend,20,260,0.1221616770839616,0.12164204843454091,-0.00051962864942069198,0.00054089459058901388,0.0010776443950432459,theil_all_a0p1,40
MATR_B1C36,20,40,theil_all_a0p1,robust_local_trend,20,260,0.022724628881940299,0.022777039688237449,5.2410806297149837e-05,0.0017094752792647227,0.0034058511311021297,theil_all_a0p1,40
MATR_B1C38,20,40,theil_all_a0p1,robust_local_trend,20,260,0.090380813098921653,0.0957998057907231,0.0054189926918014469,0.005707797258739873,0.011371856607451087,theil_all_a0p1,40
MATR_B1C40,20,40,theil_all_a0p1,robust_local_trend,20,260,0.037844062667159103,0.038702474898792999,0.00085841223163389546,0.012444974872792721,0.024794585953456762,theil_all_a0p1,40
MATR_B1C42,20,40,theil_all_a0p1,robust_local_trend,20,260,0.036461434999464727,0.044130594113958865,0.0076691591144941382,0.014879928393707427,0.029645834347616331,theil_all_a0p1,40
MATR_B1C44,20,40,theil_all_a0p1,robust_local_trend,20,260,0.30678699357773653,0.357184522358104,0.050397528780367462,0.051122322493571029,0.10185290305232542,theil_all_a0p1,40
MATR_B1C5,20,40,theil_all_a0p1,robust_local_trend,20,260,0.070616235078299144,0.058018401350030481,-0.012597833728268663,0.012763347220070376,0.025428891013167032,theil_all_a0p1,40
MATR_B1C7,20,40,theil_all_a0p1,robust_local_trend,20,260,0.025319013214136387,0.026704626565584932,0.0013856133514485447,0.032919087826677976,0.065585922106791372,theil_all_a0p1,40
MATR_B2C0,20,40,no_update,no_update,20,260,4.3656367308626383,4.3656367308626383,0,0,0,no_update,40
MATR_B2C11,20,40,theil_all_a0p1,robust_local_trend,20,260,0.21402706285380257,0.20429233484269352,-0.0097347280111090562,0.014046125593524745,0.02798461804073895,theil_all_a0p1,40
MATR_B2C13,20,40,theil_all_a0p1,robust_local_trend,20,260,0.21702834990084788,0.23798525930536027,0.020956909404512392,0.040800704046308728,0.081288759019465667,theil_all_a0p1,40
MATR_B2C17,20,40,theil_all_a0p1,robust_local_trend,20,260,0.21095829440674593,0.42891825213641771,0.21795995772967178,0.22110266589417349,0.44051105848647593,theil_all_a0p1,40
MATR_B2C19,20,40,theil_all_a0p1,robust_local_trend,20,260,1.6561152402253398,1.6492140284011463,-0.0069012118241935649,0.0069016186393208306,0.013750351312056826,theil_all_a0p1,40
MATR_B2C2,20,40,theil_all_a0p1,robust_local_trend,20,260,0.38809419418078606,0.40703385728399838,0.018939663103212323,0.019432197432476404,0.038715489137500878,theil_all_a0p1,40
MATR_B2C21,20,40,theil_all_a0p1,robust_local_trend,20,260,0.065994996701829442,0.044121050660458669,-0.021873946041370773,0.047615545880255183,0.094866221677136764,theil_all_a0p1,40
MATR_B2C23,20,40,no_update,no_update,20,260,0.80502167128116842,0.80502167128116842,0,0,0,no_update,40
MATR_B2C25,20,40,no_update,no_update,20,260,0.5091624182711878,0.5091624182711878,0,0,0,no_update,40
MATR_B2C27,20,40,theil_all_a0p1,robust_local_trend,20,260,0.43142363536572642,0.45457139263614399,0.023147757270417568,0.023193125110680946,0.046208525124728332,theil_all_a0p1,40
MATR_B2C29,20,40,no_update,no_update,20,260,0.36395523521226347,0.36395523521226347,0,0,0,no_update,40
MATR_B2C31,20,40,theil_all_a0p1,robust_local_trend,20,260,0.046996313515771743,0.046793583512115988,-0.00020273000365575444,0.00034741863916800677,0.00069217506654162264,theil_all_a0p1,40
MATR_B2C33,20,40,theil_all_a0p1,robust_local_trend,20,260,0.60951557107458387,0.61545893725674039,0.0059433661821565176,0.00594652083511929,0.011847474460774061,theil_all_a0p1,40
MATR_B2C35,20,40,theil_all_a0p1,robust_local_trend,20,260,0.14573156670469486,0.20017503739630491,0.054443470691610041,0.054988002636373247,0.10955464126787007,theil_all_a0p1,40
MATR_B2C37,20,40,theil_all_a0p1,robust_local_trend,20,260,0.35194107684858483,0.338114079556535,-0.013826997292049836,0.014026324985355113,0.027945168553197928,theil_all_a0p1,40
MATR_B2C39,20,40,theil_all_a0p1,robust_local_trend,20,260,0.053962899749796324,0.038319080902611311,-0.015643818847185013,0.038078462824801755,0.075865136662440269,theil_all_a0p1,40
MATR_B2C4,20,40,theil_all_a0p1,robust_local_trend,20,260,0.34542316655869471,0.36479352669853948,0.019370360139844778,0.0218061794010329,0.043445261641904633,theil_all_a0p1,40
