previous_prefix_cycle,current_prefix_cycle,gate_id,projection_scale,physical_cell_count,activation_count,activation_coverage,activation_precision,mean_base_trajectory_mae_pp,mean_gated_delta_mae_pp,active_p90_delta_mae_pp,active_maximum_delta_mae_pp,eligible
20,40,a0p1_d0p01_r0p0,0.10000000000000001,41,18,0.43902439024390244,0.72222222222222221,0.35218217163047016,-0.0086258258689006235,0.0068657434227276702,0.013545897309328647,True
20,40,a0p1_d0p01_r0p5,0.10000000000000001,41,13,0.31707317073170732,0.76923076923076927,0.35218217163047016,-0.0081099008315591668,0.0058859212677800912,0.013545897309328647,True
20,40,a0p1_d0p02_r0p0,0.10000000000000001,41,13,0.31707317073170732,0.69230769230769229,0.35218217163047016,-0.0082178123616346074,0.0075234352722625903,0.013545897309328647,False
20,40,a0p1_d0p02_r0p5,0.10000000000000001,41,10,0.24390243902439024,0.80000000000000004,0.35218217163047016,-0.0079980175852616183,0.0071786052126389076,0.013545897309328647,True
20,40,a0p1_d0p04_r0p0,0.10000000000000001,41,8,0.1951219512195122,0.75,0.35218217163047016,-0.0072282674735817667,0.0085935590119032949,0.013545897309328647,True
20,40,a0p1_d0p04_r0p5,0.10000000000000001,41,8,0.1951219512195122,0.75,0.35218217163047016,-0.0072282674735817667,0.0085935590119032949,0.013545897309328647,True
20,40,a0p25_d0p01_r0p0,0.25,41,18,0.43902439024390244,0.66666666666666663,0.35218217163047016,-0.017364250661060555,0.027158333405742169,0.10118522678380035,False
20,40,a0p25_d0p01_r0p5,0.25,41,13,0.31707317073170732,0.69230769230769229,0.35218217163047016,-0.016427081204698005,0.032826807851913886,0.10118522678380035,False
20,40,a0p25_d0p02_r0p0,0.25,41,13,0.31707317073170732,0.61538461538461542,0.35218217163047016,-0.016650209078462114,0.033330012968481523,0.10118522678380035,False
20,40,a0p25_d0p02_r0p5,0.25,41,10,0.24390243902439024,0.69999999999999996,0.35218217163047016,-0.016407232387459236,0.042337338992599546,0.10118522678380035,False
20,40,a0p25_d0p04_r0p0,0.25,41,8,0.1951219512195122,0.625,0.35218217163047016,-0.014484697332187204,0.055414647390644167,0.10118522678380035,False
20,40,a0p25_d0p04_r0p5,0.25,41,8,0.1951219512195122,0.625,0.35218217163047016,-0.014484697332187204,0.055414647390644167,0.10118522678380035,False
20,40,a0p5_d0p01_r0p0,0.5,41,18,0.43902439024390244,0.66666666666666663,0.35218217163047016,-0.028111121147369238,0.092145229278948859,0.2948068214839103,False
20,40,a0p5_d0p01_r0p5,0.5,41,13,0.31707317073170732,0.69230769230769229,0.35218217163047016,-0.027135722487423596,0.10665910441254582,0.2948068214839103,False
20,40,a0p5_d0p02_r0p0,0.5,41,13,0.31707317073170732,0.61538461538461542,0.35218217163047016,-0.027431609699598888,0.10665910441254582,0.2948068214839103,False
