draw_index,v7_activated,correction_sign_matches_baseline,p60_reference_jaccard,p100_reference_jaccard,p60_endpoint_abs_deviation_pp,p100_endpoint_abs_deviation_pp,p100_trajectory_mae_deviation_pp,issued_endpoint_abs_deviation_pp,issued_trajectory_mae_deviation_pp,history_slope_pp_per_cycle,unassimilated_slope_pp_per_cycle,endpoint_correction_pp
1,True,True,1,0.84615384615384615,0.013433397862087304,0.0018028839244266237,0.0017741436008255106,0.0019825079151587488,0.0018416224795671354,-0.0062989831869930471,-0.003852320645169641,-0.38523206451696412
2,True,True,1,1,0.0036861636003919784,0.010831235979523512,0.010788748342147159,0.0052341304430427726,0.0079762028100639534,-0.006314129404594469,-0.0039100879404418672,-0.3910087940441867
3,True,True,0.84615384615384615,0.84615384615384615,0.01672709290053831,0.011793200207264931,0.0081879549869349685,0.0018333678150810329,0.0031882723115524668,-0.0063664532884362274,-0.0039537152089988903,-0.39537152089988903
4,True,True,1,0.84615384615384615,0.016776059803319754,0.0004943279450060345,0.0021363156626996015,0.0032742103644523013,0.0034911916889903694,-0.0062861237569970842,-0.0038263180608825954,-0.38263180608825953
5,True,True,1,0.84615384615384615,0.016180304397835243,0.00035474713489236365,0.0017298442126265456,0.00027772900659783772,0.0019460855073978678,-0.006200337664661661,-0.0038477921236620928,-0.38477921236620927
6,True,True,1,1,0.0051449642204772772,0.013639675247631544,0.0083316499439212779,0.0091297769559162134,0.0060654260523361359,-0.0062381433216886807,-0.0038992158679941446,-0.38992158679941447
7,True,True,1,1,0.0096128753188224891,0.013934281800487724,0.012098064615966707,0.015634733674119161,0.012952541682462595,-0.0062886644211078754,-0.0038711214038132627,-0.3871121403813263
8,True,True,1,1,0.0010932103498220158,0.0079997636863851085,0.0054059968767959533,0.015049585702200829,0.0089485324397456621,-0.0061555500418690942,-0.0037836186649188204,-0.37836186649188203
9,True,True,1,1,0.0073992155675313143,0.013231189641189189,0.0082388300806803018,0.0061809570027122618,0.0046960881798469249,-0.006314888493867207,-0.0039246192114617707,-0.39246192114617706
10,True,True,1,0.84615384615384615,0.0018774900837286168,0.0067924134222465682,0.0054509740298096434,0.0038783737699645826,0.003986669104535494,-0.0062687133296155627,-0.0038832572815998968,-0.38832572815998967
11,True,True,1,0.84615384615384615,0.0027930013700370182,0.012419855023182436,0.0095962424101637116,0.01841878230874272,0.01261070337115747,-0.0061706078856727476,-0.0037941276122214294,-0.37941276122214296
12,True,True,0.84615384615384615,0.84615384615384615,0.0057275604732041074,0.0014992461185840966,0.0013155344367761046,0.00038871369395110378,0.0012960933909021578,-0.0062856816552273442,-0.003843011560830719,-0.38430115608307192
13,True,True,0.84615384615384615,1,0.019006562375224689,0.013947316555515954,0.0099822157277633036,0.003108027185007245,0.002352611485004701,-0.0064458232601341788,-0.0040246703224821948,-0.40246703224821945
14,True,True,1,1,0.0024276942168199867,0.0017952257424980189,0.002258734777604019,0.016600276225673838,0.0096329802585116645,-0.0063914878957009869,-0.0040021673899087833,-0.40021673899087834
15,True,True,0.84615384615384615,0.84615384615384615,0.011452407142300558,0.0037339231404445172,0.0046563254359085707,0.011738421946986932,0.0042490723142558553,-0.0063674678409928586,-0.0040088403359512751,-0.40088403359512753
16,True,True,1,0.84615384615384615,0.02569226726144791,0.010487336845855566,0.007053732004010058,0.0083645605470650253,0.0059870369138702272,-0.0062102627334408248,-0.0038328891220891686,-0.38328891220891687
17,True,True,1,0.84615384615384615,0.003553109420906253,0.0053881165748919102,0.0019339524512525942,0.0011452650798275954,0.0015829296721462072,-0.0062316593809944656,-0.0038116883701263143,-0.38116883701263143
18,True,True,1,0.84615384615384615,0.0012558160433542298,0.0015754946996509034,0.0011629168910715748,0.0013522721896208623,0.0014978247841940372,-0.0062694294628466351,-0.0038833945539696749,-0.38833945539696751
19,True,True,0.84615384615384615,1,0.0025879818560241574,0.007490627885758272,0.0050030513067819979,0.0011089532689112502,0.0010240297997246017,-0.0063038341614479691,-0.0039401126966237231,-0.39401126966237232
20,True,True,1,1,0.016095754434942933,0.011691131671540234,0.0086187656866884774,0.0058703922536551545,0.0056938441292032141,-0.0063473737679130664,-0.003912324279255832,-0.39123242792558321
21,True,True,1,0.84615384615384615,0.0094954064668684168,0.0011766074228205525,0.0048822566119461897,0.0059173577379283415,0.0072642466077724776,-0.0061952146294951185,-0.0038067093819259424,-0.38067093819259423
22,True,True,1,0.84615384615384615,0.0065937566005942472,0.00965137824570661,0.0083213821526083361,0.0045007182884688746,0.0057331755240957703,-0.0063053681535863012,-0.0039056234846494165,-0.39056234846494164
23,True,True,0.84615384615384615,0.84615384615384615,0.005496250383416168,0.0021040934034175507,0.0024569221042788315,0.0036250217811328866,0.0032140745160217678,-0.0062958476761512117,-0.0038693261688542047,-0.38693261688542047
24,True,True,0.84615384615384615,0.84615384615384615,0.0004053331863076437,0.010872710894446413,0.00905011831161282,0.011945648370939921,0.0095892693935496001,-0.0062144133797901926,-0.0038433875103121157,-0.38433875103121157
