scenario,prefix_checkups,candidate_method,independent_condition_count,shared_training_fold_count,candidate_trajectory_iae_pp_mean,comparator_trajectory_iae_pp_mean,mean_paired_delta_iae_pp,relative_iae_improvement_fraction,bootstrap_mean_delta_ci_lower_pp,bootstrap_mean_delta_ci_upper_pp,candidate_better_condition_count,candidate_worse_condition_count,candidate_equal_condition_count,mechanism_gate_ready_condition_count,descriptive_strict_superiority_criterion_met,bootstrap_inference_role,shared_fold_dependence_adjusted
v3_soc_interpolation_at_40c,5,hierarchical_activation_offset_power_tau7_v3,4,1,2.2601907184186123,2.5569018752071289,-0.29671115678851678,0.11604323171943415,-0.91152407239161981,0.23247370528032757,3,1,0,0,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,4,1,2.5569018752071289,2.5569018752071289,0,0,0,0,0,0,4,0,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,5,mechanism_gated_target_activation_offset_hybrid_v1,4,1,2.5569018752071289,2.5569018752071289,0,0,0,0,0,0,4,0,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,5,target_prefix_activation_offset_power_tau7_v1,4,1,3.7701118739682329,2.5569018752071289,1.2132099987611045,-0.47448437913278335,-0.02597861570366311,3.5360897636532811,1,3,0,0,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,5,target_prefix_only_sqrt_time_v1,4,1,2.2082001233957316,2.5569018752071289,-0.34870175181139706,0.1363766655234471,-1.9501579888054725,1.2527544851826784,2,2,0,0,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,8,hierarchical_activation_offset_power_tau7_v3,4,1,0.40780965442153783,1.7358562322247035,-1.3280465778031656,0.76506714850521818,-3.4236451866648094,-0.056697197403603697,3,1,0,1,True,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,8,mechanism_gated_hierarchical_activation_offset_hybrid_v1,4,1,0.62822041264612816,1.7358562322247035,-1.1076358195785754,0.6380919105028704,-3.3229074587357261,0,1,0,3,1,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,8,mechanism_gated_target_activation_offset_hybrid_v1,4,1,0.76191683985431646,1.7358562322247035,-0.97393939237038718,0.56107146104039352,-2.9218181771111613,0,1,0,3,1,False,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,8,target_prefix_activation_offset_power_tau7_v1,4,1,0.71052463831162904,1.7358562322247035,-1.0253315939130745,0.59067771563028104,-2.9326042089129429,-0.034519546757730141,4,0,0,1,True,descriptive_resampling_only,False
v3_soc_interpolation_at_40c,8,target_prefix_only_sqrt_time_v1,4,1,1.5631398295057672,1.7358562322247035,-0.17271640271893651,0.099499255475541282,-1.616219619894973,1.4401767175566391,3,1,0,1,False,descriptive_resampling_only,False
