scenario,prefix_checkups,activation_timescale_days,independent_condition_count,mechanism_gate_ready_condition_count,candidate_trajectory_iae_pp_mean,comparator_trajectory_iae_pp_mean,mean_paired_delta_iae_pp,relative_iae_improvement_fraction,candidate_better_condition_count,candidate_worse_condition_count,candidate_equal_condition_count,is_core_robustness_timescale,mean_improvement_observed
v3_soc_interpolation_at_40c,10,3,4,1,0.37635741972926201,0.69068429920705832,-0.31432687947779619,0.45509486727678622,1,0,3,True,True
v3_soc_interpolation_at_40c,10,5,4,1,0.31834196579190849,0.69068429920705832,-0.37234233341514972,0.53909193222231677,1,0,3,True,True
v3_soc_interpolation_at_40c,10,7,4,1,0.20968832280689345,0.69068429920705832,-0.48099597640016473,0.69640496671543484,1,0,3,True,True
v3_soc_interpolation_at_40c,10,10,4,1,0.22612983092502917,0.69068429920705832,-0.46455446828202901,0.67260030207051469,1,0,3,True,True
v3_soc_interpolation_at_40c,10,14,4,1,0.38242888153789717,0.69068429920705832,-0.30825541766916104,0.44630436513911564,1,0,3,True,True
v3_soc_interpolation_at_40c,10,20,4,1,0.55248731495247361,0.69068429920705832,-0.13819698425458465,0.20008705049939904,1,0,3,False,True
v3_soc_interpolation_at_40c,10,30,4,1,0.71956438895002173,0.69068429920705832,0.028880089742963411,-0.041813734257632997,0,1,3,False,False
v3_unseen_temperature_level,10,3,17,3,0.42610473141934707,0.48012720519772029,-0.054022473778373319,0.11251700214764193,2,1,14,True,True
v3_unseen_temperature_level,10,5,17,3,0.40424747430552554,0.48012720519772029,-0.075879730892194783,0.15804089014482495,2,1,14,True,True
v3_unseen_temperature_level,10,7,17,3,0.36622558367548513,0.48012720519772029,-0.11390162152223517,0.23723217574252961,3,0,14,True,True
v3_unseen_temperature_level,10,10,17,3,0.38848750352921652,0.48012720519772029,-0.09163970166850384,0.19086546372802557,2,1,14,True,True
v3_unseen_temperature_level,10,14,17,3,0.46580363169800842,0.48012720519772029,-0.014323573499711835,0.029832872090248035,1,2,14,True,True
v3_unseen_temperature_level,10,20,17,3,0.55378181051643149,0.48012720519772029,0.073654605318711236,-0.15340644004619494,1,2,14,False,False
v3_unseen_temperature_level,10,30,17,3,0.64926048659180469,0.48012720519772029,0.16913328139408446,-0.35226764816301953,0,3,14,False,False
